VIPLite driver software version 2.0.3.2-AW-2024-08-30
phase,name=init,time_us=3431.667
phase,name=create_network,time_us=299.417
network,inputs=2,outputs=1
tensor,kind=input,index=0,format=2,quant=1,dims=2,shape=16384x1
buffer,kind=input,index=0,bytes=16384
tensor,kind=input,index=1,format=3,quant=1,dims=2,shape=128x1
buffer,kind=input,index=1,bytes=128
tensor,kind=output,index=0,format=3,quant=1,dims=2,shape=1024x1
buffer,kind=output,index=0,bytes=1024
phase,name=create_buffers,time_us=227.375
phase,name=prepare,time_us=93.584
iteration,index=0,kind=first,h2d_us=23.625,run_us=456.208,d2h_us=11.416,device_profile_status=0,device_us=344,cycles=335735,repeat_equal=1
iteration,index=1,kind=steady,h2d_us=9.500,run_us=389.500,d2h_us=9.084,device_profile_status=0,device_us=340,cycles=336202,repeat_equal=1
iteration,index=2,kind=steady,h2d_us=7.375,run_us=380.208,d2h_us=9.584,device_profile_status=0,device_us=340,cycles=336526,repeat_equal=1
iteration,index=3,kind=steady,h2d_us=7.291,run_us=377.542,d2h_us=8.333,device_profile_status=0,device_us=339,cycles=336310,repeat_equal=1
iteration,index=4,kind=steady,h2d_us=7.209,run_us=377.917,d2h_us=8.709,device_profile_status=0,device_us=339,cycles=336395,repeat_equal=1
iteration,index=5,kind=steady,h2d_us=7.167,run_us=377.000,d2h_us=8.875,device_profile_status=0,device_us=339,cycles=336056,repeat_equal=1
iteration,index=6,kind=steady,h2d_us=7.250,run_us=377.041,d2h_us=9.709,device_profile_status=0,device_us=339,cycles=336256,repeat_equal=1
iteration,index=7,kind=steady,h2d_us=6.916,run_us=378.458,d2h_us=9.000,device_profile_status=0,device_us=339,cycles=336524,repeat_equal=1
iteration,index=8,kind=steady,h2d_us=7.208,run_us=377.041,d2h_us=10.083,device_profile_status=0,device_us=339,cycles=336235,repeat_equal=1
iteration,index=9,kind=steady,h2d_us=7.167,run_us=379.583,d2h_us=9.208,device_profile_status=0,device_us=339,cycles=336285,repeat_equal=1
iteration,index=10,kind=steady,h2d_us=7.541,run_us=378.291,d2h_us=9.417,device_profile_status=0,device_us=339,cycles=336050,repeat_equal=1
iteration,index=11,kind=steady,h2d_us=7.167,run_us=378.250,d2h_us=8.792,device_profile_status=0,device_us=340,cycles=336597,repeat_equal=1
iteration,index=12,kind=steady,h2d_us=7.125,run_us=378.375,d2h_us=9.625,device_profile_status=0,device_us=339,cycles=336261,repeat_equal=1
iteration,index=13,kind=steady,h2d_us=7.167,run_us=377.458,d2h_us=9.667,device_profile_status=0,device_us=339,cycles=336396,repeat_equal=1
iteration,index=14,kind=steady,h2d_us=7.125,run_us=377.417,d2h_us=9.583,device_profile_status=0,device_us=339,cycles=336332,repeat_equal=1
