VIPLite driver software version 2.0.3.2-AW-2024-08-30
phase,name=init,time_us=3516.667
phase,name=create_network,time_us=266.042
network,inputs=2,outputs=1
tensor,kind=input,index=0,format=2,quant=1,dims=2,shape=16384x1
buffer,kind=input,index=0,bytes=16384
tensor,kind=input,index=1,format=3,quant=1,dims=4,shape=1x1x128x1
buffer,kind=input,index=1,bytes=128
tensor,kind=output,index=0,format=3,quant=1,dims=4,shape=1x1x1024x1
buffer,kind=output,index=0,bytes=1024
phase,name=create_buffers,time_us=225.917
phase,name=prepare,time_us=98.125
iteration,index=0,kind=first,h2d_us=25.583,run_us=917.958,d2h_us=11.667,device_profile_status=0,device_us=678,cycles=569161,repeat_equal=1
iteration,index=1,kind=steady,h2d_us=9.209,run_us=765.583,d2h_us=12.500,device_profile_status=0,device_us=673,cycles=568729,repeat_equal=1
iteration,index=2,kind=steady,h2d_us=8.000,run_us=758.959,d2h_us=9.333,device_profile_status=0,device_us=576,cycles=568679,repeat_equal=1
iteration,index=3,kind=steady,h2d_us=7.291,run_us=634.709,d2h_us=9.042,device_profile_status=0,device_us=573,cycles=568766,repeat_equal=1
iteration,index=4,kind=steady,h2d_us=6.958,run_us=630.792,d2h_us=8.625,device_profile_status=0,device_us=573,cycles=568474,repeat_equal=1
iteration,index=5,kind=steady,h2d_us=7.167,run_us=632.209,d2h_us=10.166,device_profile_status=0,device_us=574,cycles=569154,repeat_equal=1
iteration,index=6,kind=steady,h2d_us=7.167,run_us=632.042,d2h_us=9.041,device_profile_status=0,device_us=574,cycles=568665,repeat_equal=1
iteration,index=7,kind=steady,h2d_us=7.250,run_us=649.834,d2h_us=10.500,device_profile_status=0,device_us=575,cycles=568780,repeat_equal=1
iteration,index=8,kind=steady,h2d_us=7.292,run_us=632.375,d2h_us=9.417,device_profile_status=0,device_us=574,cycles=568869,repeat_equal=1
iteration,index=9,kind=steady,h2d_us=7.333,run_us=630.208,d2h_us=8.708,device_profile_status=0,device_us=573,cycles=568485,repeat_equal=1
iteration,index=10,kind=steady,h2d_us=7.167,run_us=630.375,d2h_us=8.917,device_profile_status=0,device_us=574,cycles=568867,repeat_equal=1
iteration,index=11,kind=steady,h2d_us=7.042,run_us=630.833,d2h_us=9.125,device_profile_status=0,device_us=574,cycles=568919,repeat_equal=1
iteration,index=12,kind=steady,h2d_us=6.833,run_us=630.250,d2h_us=9.834,device_profile_status=0,device_us=574,cycles=568646,repeat_equal=1
iteration,index=13,kind=steady,h2d_us=7.000,run_us=639.916,d2h_us=10.000,device_profile_status=0,device_us=574,cycles=568649,repeat_equal=1
iteration,index=14,kind=steady,h2d_us=7.458,run_us=632.416,d2h_us=10.250,device_profile_status=0,device_us=573,cycles=568452,repeat_equal=1
iteration,index=15,kind=steady,h2d_us=7.167,run_us=630.542,d2h_us=9.500,device_profile_status=0,device_us=574,cycles=568940,repeat_equal=1
iteration,index=16,kind=steady,h2d_us=7.042,run_us=630.958,d2h_us=8.917,device_profile_status=0,device_us=574,cycles=568743,repeat_equal=1
iteration,index=17,kind=steady,h2d_us=6.958,run_us=630.916,d2h_us=9.084,device_profile_status=0,device_us=574,cycles=568690,repeat_equal=1
iteration,index=18,kind=steady,h2d_us=7.333,run_us=630.667,d2h_us=8.875,device_profile_status=0,device_us=574,cycles=569146,repeat_equal=1
iteration,index=19,kind=steady,h2d_us=7.042,run_us=632.042,d2h_us=10.000,device_profile_status=0,device_us=574,cycles=568829,repeat_equal=1
iteration,index=20,kind=steady,h2d_us=7.500,run_us=633.000,d2h_us=8.750,device_profile_status=0,device_us=574,cycles=568918,repeat_equal=1
iteration,index=21,kind=steady,h2d_us=7.084,run_us=630.958,d2h_us=9.500,device_profile_status=0,device_us=574,cycles=568645,repeat_equal=1
iteration,index=22,kind=steady,h2d_us=7.125,run_us=630.833,d2h_us=9.167,device_profile_status=0,device_us=574,cycles=568758,repeat_equal=1
iteration,index=23,kind=steady,h2d_us=7.000,run_us=629.916,d2h_us=9.792,device_profile_status=0,device_us=574,cycles=568476,repeat_equal=1
iteration,index=24,kind=steady,h2d_us=7.000,run_us=631.792,d2h_us=9.416,device_profile_status=0,device_us=574,cycles=569187,repeat_equal=1
iteration,index=25,kind=steady,h2d_us=6.917,run_us=634.375,d2h_us=9.417,device_profile_status=0,device_us=574,cycles=568597,repeat_equal=1
iteration,index=26,kind=steady,h2d_us=7.958,run_us=633.625,d2h_us=8.666,device_profile_status=0,device_us=574,cycles=569106,repeat_equal=1
iteration,index=27,kind=steady,h2d_us=7.125,run_us=631.750,d2h_us=9.792,device_profile_status=0,device_us=574,cycles=569179,repeat_equal=1
iteration,index=28,kind=steady,h2d_us=7.084,run_us=631.667,d2h_us=10.125,device_profile_status=0,device_us=573,cycles=568983,repeat_equal=1
iteration,index=29,kind=steady,h2d_us=7.166,run_us=630.125,d2h_us=9.083,device_profile_status=0,device_us=574,cycles=568711,repeat_equal=1
iteration,index=30,kind=steady,h2d_us=7.166,run_us=630.916,d2h_us=9.000,device_profile_status=0,device_us=573,cycles=568642,repeat_equal=1
iteration,index=31,kind=steady,h2d_us=7.083,run_us=637.833,d2h_us=9.584,device_profile_status=0,device_us=574,cycles=568657,repeat_equal=1
iteration,index=32,kind=steady,h2d_us=7.583,run_us=631.459,d2h_us=9.958,device_profile_status=0,device_us=574,cycles=568874,repeat_equal=1
iteration,index=33,kind=steady,h2d_us=7.166,run_us=631.000,d2h_us=10.333,device_profile_status=0,device_us=574,cycles=568762,repeat_equal=1
iteration,index=34,kind=steady,h2d_us=7.000,run_us=630.542,d2h_us=9.167,device_profile_status=0,device_us=574,cycles=568877,repeat_equal=1
iteration,index=35,kind=steady,h2d_us=6.875,run_us=630.375,d2h_us=9.167,device_profile_status=0,device_us=574,cycles=568580,repeat_equal=1
iteration,index=36,kind=steady,h2d_us=7.125,run_us=631.250,d2h_us=9.875,device_profile_status=0,device_us=574,cycles=568868,repeat_equal=1
iteration,index=37,kind=steady,h2d_us=7.041,run_us=630.666,d2h_us=9.291,device_profile_status=0,device_us=573,cycles=568547,repeat_equal=1
iteration,index=38,kind=steady,h2d_us=7.334,run_us=631.958,d2h_us=9.250,device_profile_status=0,device_us=573,cycles=568704,repeat_equal=1
iteration,index=39,kind=steady,h2d_us=7.125,run_us=631.333,d2h_us=10.125,device_profile_status=0,device_us=573,cycles=568935,repeat_equal=1
iteration,index=40,kind=steady,h2d_us=7.291,run_us=631.125,d2h_us=9.500,device_profile_status=0,device_us=574,cycles=569262,repeat_equal=1
iteration,index=41,kind=steady,h2d_us=7.083,run_us=631.500,d2h_us=8.750,device_profile_status=0,device_us=574,cycles=568671,repeat_equal=1
iteration,index=42,kind=steady,h2d_us=7.042,run_us=630.458,d2h_us=9.333,device_profile_status=0,device_us=573,cycles=568448,repeat_equal=1
iteration,index=43,kind=steady,h2d_us=6.959,run_us=631.292,d2h_us=8.917,device_profile_status=0,device_us=574,cycles=568613,repeat_equal=1
iteration,index=44,kind=steady,h2d_us=7.500,run_us=633.209,d2h_us=9.208,device_profile_status=0,device_us=574,cycles=569064,repeat_equal=1
iteration,index=45,kind=steady,h2d_us=7.125,run_us=630.792,d2h_us=9.875,device_profile_status=0,device_us=574,cycles=569272,repeat_equal=1
iteration,index=46,kind=steady,h2d_us=7.083,run_us=631.166,d2h_us=8.834,device_profile_status=0,device_us=573,cycles=568577,repeat_equal=1
iteration,index=47,kind=steady,h2d_us=7.000,run_us=630.916,d2h_us=9.000,device_profile_status=0,device_us=574,cycles=568689,repeat_equal=1
iteration,index=48,kind=steady,h2d_us=7.000,run_us=630.416,d2h_us=9.709,device_profile_status=0,device_us=574,cycles=568941,repeat_equal=1
iteration,index=49,kind=steady,h2d_us=7.125,run_us=634.875,d2h_us=9.209,device_profile_status=0,device_us=574,cycles=568939,repeat_equal=1
iteration,index=50,kind=steady,h2d_us=7.500,run_us=633.125,d2h_us=9.500,device_profile_status=0,device_us=574,cycles=569182,repeat_equal=1
iteration,index=51,kind=steady,h2d_us=7.166,run_us=630.958,d2h_us=10.083,device_profile_status=0,device_us=573,cycles=568776,repeat_equal=1
iteration,index=52,kind=steady,h2d_us=7.042,run_us=630.708,d2h_us=10.292,device_profile_status=0,device_us=573,cycles=568684,repeat_equal=1
iteration,index=53,kind=steady,h2d_us=7.000,run_us=629.833,d2h_us=9.583,device_profile_status=0,device_us=573,cycles=568546,repeat_equal=1
iteration,index=54,kind=steady,h2d_us=7.166,run_us=631.083,d2h_us=8.750,device_profile_status=0,device_us=573,cycles=568641,repeat_equal=1
iteration,index=55,kind=steady,h2d_us=7.125,run_us=632.125,d2h_us=9.209,device_profile_status=0,device_us=574,cycles=568782,repeat_equal=1
iteration,index=56,kind=steady,h2d_us=7.916,run_us=632.083,d2h_us=9.458,device_profile_status=0,device_us=573,cycles=568866,repeat_equal=1
iteration,index=57,kind=steady,h2d_us=7.209,run_us=632.083,d2h_us=10.167,device_profile_status=0,device_us=574,cycles=568891,repeat_equal=1
iteration,index=58,kind=steady,h2d_us=7.000,run_us=630.667,d2h_us=8.667,device_profile_status=0,device_us=573,cycles=568459,repeat_equal=1
iteration,index=59,kind=steady,h2d_us=6.875,run_us=634.459,d2h_us=9.208,device_profile_status=0,device_us=575,cycles=568555,repeat_equal=1
iteration,index=60,kind=steady,h2d_us=7.292,run_us=635.000,d2h_us=8.792,device_profile_status=0,device_us=575,cycles=568509,repeat_equal=1
iteration,index=61,kind=steady,h2d_us=7.000,run_us=635.291,d2h_us=10.042,device_profile_status=0,device_us=575,cycles=568868,repeat_equal=1
iteration,index=62,kind=steady,h2d_us=7.583,run_us=634.500,d2h_us=10.166,device_profile_status=0,device_us=574,cycles=568698,repeat_equal=1
iteration,index=63,kind=steady,h2d_us=7.041,run_us=635.708,d2h_us=8.875,device_profile_status=0,device_us=575,cycles=569013,repeat_equal=1
iteration,index=64,kind=steady,h2d_us=7.167,run_us=631.458,d2h_us=10.250,device_profile_status=0,device_us=574,cycles=568786,repeat_equal=1
iteration,index=65,kind=steady,h2d_us=7.333,run_us=631.542,d2h_us=9.125,device_profile_status=0,device_us=574,cycles=568665,repeat_equal=1
iteration,index=66,kind=steady,h2d_us=7.000,run_us=630.750,d2h_us=8.959,device_profile_status=0,device_us=574,cycles=568498,repeat_equal=1
iteration,index=67,kind=steady,h2d_us=7.125,run_us=630.917,d2h_us=8.875,device_profile_status=0,device_us=573,cycles=568516,repeat_equal=1
iteration,index=68,kind=steady,h2d_us=7.459,run_us=632.417,d2h_us=10.167,device_profile_status=0,device_us=573,cycles=568484,repeat_equal=1
iteration,index=69,kind=steady,h2d_us=7.125,run_us=631.333,d2h_us=8.917,device_profile_status=0,device_us=573,cycles=568571,repeat_equal=1
iteration,index=70,kind=steady,h2d_us=7.042,run_us=629.917,d2h_us=9.625,device_profile_status=0,device_us=574,cycles=568494,repeat_equal=1
iteration,index=71,kind=steady,h2d_us=6.959,run_us=631.333,d2h_us=8.708,device_profile_status=0,device_us=573,cycles=568555,repeat_equal=1
iteration,index=72,kind=steady,h2d_us=7.125,run_us=631.000,d2h_us=8.750,device_profile_status=0,device_us=573,cycles=568464,repeat_equal=1
iteration,index=73,kind=steady,h2d_us=7.042,run_us=632.667,d2h_us=10.417,device_profile_status=0,device_us=574,cycles=568815,repeat_equal=1
iteration,index=74,kind=steady,h2d_us=7.416,run_us=633.958,d2h_us=9.250,device_profile_status=0,device_us=575,cycles=568684,repeat_equal=1
iteration,index=75,kind=steady,h2d_us=7.000,run_us=633.000,d2h_us=9.834,device_profile_status=0,device_us=575,cycles=568946,repeat_equal=1
iteration,index=76,kind=steady,h2d_us=7.041,run_us=633.750,d2h_us=9.875,device_profile_status=0,device_us=575,cycles=568791,repeat_equal=1
iteration,index=77,kind=steady,h2d_us=7.000,run_us=633.167,d2h_us=9.083,device_profile_status=0,device_us=575,cycles=568674,repeat_equal=1
iteration,index=78,kind=steady,h2d_us=7.208,run_us=633.166,d2h_us=9.292,device_profile_status=0,device_us=575,cycles=568617,repeat_equal=1
iteration,index=79,kind=steady,h2d_us=7.042,run_us=632.875,d2h_us=9.584,device_profile_status=0,device_us=575,cycles=568904,repeat_equal=1
iteration,index=80,kind=steady,h2d_us=7.542,run_us=633.250,d2h_us=9.250,device_profile_status=0,device_us=574,cycles=569180,repeat_equal=1
iteration,index=81,kind=steady,h2d_us=7.166,run_us=630.708,d2h_us=9.625,device_profile_status=0,device_us=575,cycles=569172,repeat_equal=1
iteration,index=82,kind=steady,h2d_us=7.250,run_us=631.959,d2h_us=9.083,device_profile_status=0,device_us=574,cycles=569300,repeat_equal=1
iteration,index=83,kind=steady,h2d_us=7.041,run_us=630.291,d2h_us=9.542,device_profile_status=0,device_us=574,cycles=568540,repeat_equal=1
iteration,index=84,kind=steady,h2d_us=7.042,run_us=630.375,d2h_us=9.542,device_profile_status=0,device_us=573,cycles=568561,repeat_equal=1
iteration,index=85,kind=steady,h2d_us=7.583,run_us=632.125,d2h_us=9.417,device_profile_status=0,device_us=574,cycles=568765,repeat_equal=1
iteration,index=86,kind=steady,h2d_us=7.375,run_us=631.250,d2h_us=9.167,device_profile_status=0,device_us=573,cycles=568738,repeat_equal=1
iteration,index=87,kind=steady,h2d_us=7.083,run_us=631.542,d2h_us=9.125,device_profile_status=0,device_us=574,cycles=569024,repeat_equal=1
iteration,index=88,kind=steady,h2d_us=7.083,run_us=631.625,d2h_us=9.958,device_profile_status=0,device_us=573,cycles=568946,repeat_equal=1
iteration,index=89,kind=steady,h2d_us=7.125,run_us=630.208,d2h_us=9.458,device_profile_status=0,device_us=574,cycles=569224,repeat_equal=1
iteration,index=90,kind=steady,h2d_us=7.000,run_us=631.041,d2h_us=9.125,device_profile_status=0,device_us=573,cycles=568593,repeat_equal=1
iteration,index=91,kind=steady,h2d_us=7.208,run_us=632.291,d2h_us=9.000,device_profile_status=0,device_us=574,cycles=568875,repeat_equal=1
iteration,index=92,kind=steady,h2d_us=7.625,run_us=631.584,d2h_us=8.750,device_profile_status=0,device_us=573,cycles=568427,repeat_equal=1
iteration,index=93,kind=steady,h2d_us=6.958,run_us=631.083,d2h_us=9.667,device_profile_status=0,device_us=573,cycles=568496,repeat_equal=1
iteration,index=94,kind=steady,h2d_us=7.292,run_us=631.167,d2h_us=9.667,device_profile_status=0,device_us=574,cycles=569088,repeat_equal=1
iteration,index=95,kind=steady,h2d_us=7.042,run_us=631.208,d2h_us=8.750,device_profile_status=0,device_us=574,cycles=568885,repeat_equal=1
iteration,index=96,kind=steady,h2d_us=6.959,run_us=630.833,d2h_us=8.834,device_profile_status=0,device_us=574,cycles=568494,repeat_equal=1
iteration,index=97,kind=steady,h2d_us=7.042,run_us=630.958,d2h_us=9.000,device_profile_status=0,device_us=575,cycles=568677,repeat_equal=1
iteration,index=98,kind=steady,h2d_us=7.375,run_us=632.709,d2h_us=9.166,device_profile_status=0,device_us=574,cycles=569069,repeat_equal=1
iteration,index=99,kind=steady,h2d_us=7.000,run_us=630.500,d2h_us=9.958,device_profile_status=0,device_us=574,cycles=568464,repeat_equal=1
