VIPLite driver software version 2.0.3.2-AW-2024-08-30
phase,name=init,time_us=3438.583
phase,name=create_network,time_us=333.167
network,inputs=2,outputs=1
tensor,kind=input,index=0,format=2,quant=1,dims=2,shape=61440x1
buffer,kind=input,index=0,bytes=61440
tensor,kind=input,index=1,format=3,quant=1,dims=2,shape=5120x1
buffer,kind=input,index=1,bytes=5120
tensor,kind=output,index=0,format=3,quant=1,dims=2,shape=96x1
buffer,kind=output,index=0,bytes=96
phase,name=create_buffers,time_us=248.958
phase,name=prepare,time_us=513.042
iteration,index=0,kind=first,h2d_us=64.291,run_us=2221.167,d2h_us=6.708,device_profile_status=0,device_us=2031,cycles=2031458,repeat_equal=1
iteration,index=1,kind=steady,h2d_us=24.250,run_us=2091.791,d2h_us=2.459,device_profile_status=0,device_us=2023,cycles=2031524,repeat_equal=1
iteration,index=2,kind=steady,h2d_us=19.916,run_us=2076.916,d2h_us=2.750,device_profile_status=0,device_us=2023,cycles=2031561,repeat_equal=1
iteration,index=3,kind=steady,h2d_us=20.250,run_us=2077.833,d2h_us=2.709,device_profile_status=0,device_us=2024,cycles=2032503,repeat_equal=1
iteration,index=4,kind=steady,h2d_us=20.208,run_us=2076.625,d2h_us=2.583,device_profile_status=0,device_us=2024,cycles=2032766,repeat_equal=1
iteration,index=5,kind=steady,h2d_us=19.542,run_us=2079.291,d2h_us=2.792,device_profile_status=0,device_us=2027,cycles=2035503,repeat_equal=1
iteration,index=6,kind=steady,h2d_us=19.875,run_us=2075.417,d2h_us=2.542,device_profile_status=0,device_us=2022,cycles=2031545,repeat_equal=1
iteration,index=7,kind=steady,h2d_us=19.458,run_us=2095.333,d2h_us=2.875,device_profile_status=0,device_us=2040,cycles=2047173,repeat_equal=1
iteration,index=8,kind=steady,h2d_us=19.833,run_us=2077.666,d2h_us=2.875,device_profile_status=0,device_us=2023,cycles=2031990,repeat_equal=1
iteration,index=9,kind=steady,h2d_us=19.416,run_us=2088.709,d2h_us=2.709,device_profile_status=0,device_us=2033,cycles=2039483,repeat_equal=1
iteration,index=10,kind=steady,h2d_us=20.167,run_us=2077.250,d2h_us=2.500,device_profile_status=0,device_us=2023,cycles=2031919,repeat_equal=1
iteration,index=11,kind=steady,h2d_us=19.458,run_us=2076.875,d2h_us=2.625,device_profile_status=0,device_us=2024,cycles=2032294,repeat_equal=1
iteration,index=12,kind=steady,h2d_us=19.708,run_us=2075.833,d2h_us=2.667,device_profile_status=0,device_us=2023,cycles=2031613,repeat_equal=1
iteration,index=13,kind=steady,h2d_us=19.458,run_us=2106.250,d2h_us=2.709,device_profile_status=0,device_us=2053,cycles=2031416,repeat_equal=1
iteration,index=14,kind=steady,h2d_us=19.750,run_us=2076.375,d2h_us=2.583,device_profile_status=0,device_us=2022,cycles=2031233,repeat_equal=1
iteration,index=15,kind=steady,h2d_us=19.292,run_us=2077.333,d2h_us=2.958,device_profile_status=0,device_us=2025,cycles=2032203,repeat_equal=1
iteration,index=16,kind=steady,h2d_us=20.000,run_us=2077.208,d2h_us=2.500,device_profile_status=0,device_us=2024,cycles=2032036,repeat_equal=1
iteration,index=17,kind=steady,h2d_us=19.500,run_us=2077.750,d2h_us=3.125,device_profile_status=0,device_us=2024,cycles=2031985,repeat_equal=1
iteration,index=18,kind=steady,h2d_us=19.875,run_us=2076.125,d2h_us=2.625,device_profile_status=0,device_us=2022,cycles=2031536,repeat_equal=1
iteration,index=19,kind=steady,h2d_us=19.584,run_us=2075.416,d2h_us=2.666,device_profile_status=0,device_us=2024,cycles=2031924,repeat_equal=1
iteration,index=20,kind=steady,h2d_us=19.834,run_us=2087.041,d2h_us=2.750,device_profile_status=0,device_us=2031,cycles=2036580,repeat_equal=1
iteration,index=21,kind=steady,h2d_us=19.875,run_us=2078.292,d2h_us=2.541,device_profile_status=0,device_us=2024,cycles=2031677,repeat_equal=1
iteration,index=22,kind=steady,h2d_us=19.458,run_us=2078.167,d2h_us=2.792,device_profile_status=0,device_us=2025,cycles=2033419,repeat_equal=1
iteration,index=23,kind=steady,h2d_us=19.750,run_us=2076.792,d2h_us=2.667,device_profile_status=0,device_us=2023,cycles=2031907,repeat_equal=1
iteration,index=24,kind=steady,h2d_us=19.500,run_us=2075.167,d2h_us=2.833,device_profile_status=0,device_us=2023,cycles=2031762,repeat_equal=1
