VIPLite driver software version 2.0.3.2-AW-2024-08-30
phase,name=init,time_us=3479.084
phase,name=create_network,time_us=229.417
network,inputs=2,outputs=1
tensor,kind=input,index=0,format=2,quant=1,dims=2,shape=18x4
buffer,kind=input,index=0,bytes=72
tensor,kind=input,index=1,format=2,quant=1,dims=2,shape=136x1
buffer,kind=input,index=1,bytes=136
tensor,kind=output,index=0,format=8,quant=1,dims=2,shape=16x1
buffer,kind=output,index=0,bytes=64
phase,name=create_buffers,time_us=192.791
phase,name=prepare,time_us=91.375
iteration,index=0,kind=first,h2d_us=15.083,run_us=111.292,d2h_us=3.500,device_profile_status=0,device_us=16,cycles=5082,repeat_equal=1
iteration,index=1,kind=steady,h2d_us=3.417,run_us=64.959,d2h_us=3.209,device_profile_status=0,device_us=20,cycles=4190,repeat_equal=1
iteration,index=2,kind=steady,h2d_us=3.209,run_us=53.208,d2h_us=2.375,device_profile_status=0,device_us=11,cycles=4545,repeat_equal=1
iteration,index=3,kind=steady,h2d_us=3.333,run_us=53.500,d2h_us=2.500,device_profile_status=0,device_us=11,cycles=4263,repeat_equal=1
iteration,index=4,kind=steady,h2d_us=3.125,run_us=97.583,d2h_us=5.167,device_profile_status=0,device_us=10,cycles=4621,repeat_equal=1
iteration,index=5,kind=steady,h2d_us=3.875,run_us=57.125,d2h_us=2.625,device_profile_status=0,device_us=10,cycles=4311,repeat_equal=1
iteration,index=6,kind=steady,h2d_us=4.125,run_us=108.667,d2h_us=4.750,device_profile_status=0,device_us=10,cycles=4996,repeat_equal=1
iteration,index=7,kind=steady,h2d_us=3.542,run_us=99.666,d2h_us=4.666,device_profile_status=0,device_us=11,cycles=4409,repeat_equal=1
iteration,index=8,kind=steady,h2d_us=3.291,run_us=94.458,d2h_us=4.500,device_profile_status=0,device_us=10,cycles=4505,repeat_equal=1
iteration,index=9,kind=steady,h2d_us=3.375,run_us=54.083,d2h_us=2.500,device_profile_status=0,device_us=9,cycles=4135,repeat_equal=1
iteration,index=10,kind=steady,h2d_us=3.209,run_us=52.917,d2h_us=2.333,device_profile_status=0,device_us=10,cycles=4570,repeat_equal=1
iteration,index=11,kind=steady,h2d_us=3.167,run_us=50.417,d2h_us=2.375,device_profile_status=0,device_us=10,cycles=4881,repeat_equal=1
iteration,index=12,kind=steady,h2d_us=3.042,run_us=49.417,d2h_us=2.333,device_profile_status=0,device_us=9,cycles=4309,repeat_equal=1
iteration,index=13,kind=steady,h2d_us=2.958,run_us=47.125,d2h_us=2.333,device_profile_status=0,device_us=9,cycles=4128,repeat_equal=1
iteration,index=14,kind=steady,h2d_us=2.958,run_us=46.500,d2h_us=2.416,device_profile_status=0,device_us=9,cycles=4300,repeat_equal=1
iteration,index=15,kind=steady,h2d_us=3.125,run_us=47.000,d2h_us=2.500,device_profile_status=0,device_us=9,cycles=4559,repeat_equal=1
iteration,index=16,kind=steady,h2d_us=2.958,run_us=47.209,d2h_us=2.375,device_profile_status=0,device_us=9,cycles=4536,repeat_equal=1
iteration,index=17,kind=steady,h2d_us=3.041,run_us=46.958,d2h_us=2.334,device_profile_status=0,device_us=9,cycles=4272,repeat_equal=1
iteration,index=18,kind=steady,h2d_us=2.959,run_us=46.792,d2h_us=2.583,device_profile_status=0,device_us=9,cycles=4366,repeat_equal=1
iteration,index=19,kind=steady,h2d_us=2.875,run_us=46.792,d2h_us=2.292,device_profile_status=0,device_us=9,cycles=4117,repeat_equal=1
iteration,index=20,kind=steady,h2d_us=3.042,run_us=46.542,d2h_us=2.291,device_profile_status=0,device_us=9,cycles=4323,repeat_equal=1
iteration,index=21,kind=steady,h2d_us=3.000,run_us=46.250,d2h_us=2.250,device_profile_status=0,device_us=8,cycles=4137,repeat_equal=1
iteration,index=22,kind=steady,h2d_us=3.000,run_us=47.292,d2h_us=2.417,device_profile_status=0,device_us=9,cycles=4907,repeat_equal=1
iteration,index=23,kind=steady,h2d_us=3.209,run_us=47.125,d2h_us=2.333,device_profile_status=0,device_us=9,cycles=4424,repeat_equal=1
iteration,index=24,kind=steady,h2d_us=3.000,run_us=46.958,d2h_us=2.500,device_profile_status=0,device_us=9,cycles=4322,repeat_equal=1
iteration,index=25,kind=steady,h2d_us=3.042,run_us=47.083,d2h_us=2.375,device_profile_status=0,device_us=9,cycles=4115,repeat_equal=1
iteration,index=26,kind=steady,h2d_us=3.042,run_us=47.042,d2h_us=2.333,device_profile_status=0,device_us=9,cycles=4540,repeat_equal=1
iteration,index=27,kind=steady,h2d_us=3.000,run_us=46.875,d2h_us=2.208,device_profile_status=0,device_us=9,cycles=4632,repeat_equal=1
iteration,index=28,kind=steady,h2d_us=2.958,run_us=47.625,d2h_us=2.750,device_profile_status=0,device_us=9,cycles=4120,repeat_equal=1
iteration,index=29,kind=steady,h2d_us=3.042,run_us=47.250,d2h_us=2.375,device_profile_status=0,device_us=9,cycles=4130,repeat_equal=1
iteration,index=30,kind=steady,h2d_us=3.125,run_us=47.083,d2h_us=2.250,device_profile_status=0,device_us=9,cycles=4669,repeat_equal=1
iteration,index=31,kind=steady,h2d_us=3.125,run_us=46.625,d2h_us=2.250,device_profile_status=0,device_us=8,cycles=4436,repeat_equal=1
iteration,index=32,kind=steady,h2d_us=3.125,run_us=47.084,d2h_us=2.250,device_profile_status=0,device_us=9,cycles=4201,repeat_equal=1
iteration,index=33,kind=steady,h2d_us=3.083,run_us=46.500,d2h_us=2.209,device_profile_status=0,device_us=8,cycles=4256,repeat_equal=1
iteration,index=34,kind=steady,h2d_us=3.000,run_us=46.917,d2h_us=2.375,device_profile_status=0,device_us=9,cycles=4289,repeat_equal=1
iteration,index=35,kind=steady,h2d_us=2.916,run_us=47.500,d2h_us=2.375,device_profile_status=0,device_us=9,cycles=4622,repeat_equal=1
iteration,index=36,kind=steady,h2d_us=2.916,run_us=46.875,d2h_us=2.333,device_profile_status=0,device_us=9,cycles=4550,repeat_equal=1
iteration,index=37,kind=steady,h2d_us=3.042,run_us=47.208,d2h_us=2.334,device_profile_status=0,device_us=9,cycles=4498,repeat_equal=1
iteration,index=38,kind=steady,h2d_us=2.958,run_us=47.416,d2h_us=2.417,device_profile_status=0,device_us=9,cycles=4295,repeat_equal=1
iteration,index=39,kind=steady,h2d_us=3.083,run_us=47.625,d2h_us=2.292,device_profile_status=0,device_us=9,cycles=4627,repeat_equal=1
iteration,index=40,kind=steady,h2d_us=3.042,run_us=46.917,d2h_us=2.334,device_profile_status=0,device_us=9,cycles=4306,repeat_equal=1
iteration,index=41,kind=steady,h2d_us=3.250,run_us=46.334,d2h_us=2.208,device_profile_status=0,device_us=9,cycles=4486,repeat_equal=1
iteration,index=42,kind=steady,h2d_us=3.000,run_us=47.125,d2h_us=2.291,device_profile_status=0,device_us=10,cycles=4127,repeat_equal=1
iteration,index=43,kind=steady,h2d_us=3.042,run_us=46.667,d2h_us=2.333,device_profile_status=0,device_us=9,cycles=4357,repeat_equal=1
iteration,index=44,kind=steady,h2d_us=2.875,run_us=48.083,d2h_us=2.333,device_profile_status=0,device_us=9,cycles=4548,repeat_equal=1
