VIPLite driver software version 2.0.3.2-AW-2024-08-30
phase,name=init,time_us=3606.083
phase,name=create_network,time_us=253.834
network,inputs=2,outputs=1
tensor,kind=input,index=0,format=2,quant=1,dims=2,shape=18x4
buffer,kind=input,index=0,bytes=72
tensor,kind=input,index=1,format=2,quant=1,dims=2,shape=136x1
buffer,kind=input,index=1,bytes=136
tensor,kind=output,index=0,format=8,quant=1,dims=2,shape=16x1
buffer,kind=output,index=0,bytes=64
phase,name=create_buffers,time_us=192.666
phase,name=prepare,time_us=96.625
iteration,index=0,kind=first,h2d_us=15.500,run_us=181.209,d2h_us=3.625,device_profile_status=0,device_us=19,cycles=4825,repeat_equal=1
iteration,index=1,kind=steady,h2d_us=3.541,run_us=65.084,d2h_us=2.541,device_profile_status=0,device_us=13,cycles=4976,repeat_equal=1
iteration,index=2,kind=steady,h2d_us=4.000,run_us=64.792,d2h_us=2.333,device_profile_status=0,device_us=12,cycles=5012,repeat_equal=1
iteration,index=3,kind=steady,h2d_us=2.959,run_us=61.375,d2h_us=2.250,device_profile_status=0,device_us=12,cycles=4905,repeat_equal=1
iteration,index=4,kind=steady,h2d_us=2.875,run_us=60.750,d2h_us=2.334,device_profile_status=0,device_us=12,cycles=4488,repeat_equal=1
iteration,index=5,kind=steady,h2d_us=2.958,run_us=61.709,d2h_us=2.292,device_profile_status=0,device_us=12,cycles=4892,repeat_equal=1
iteration,index=6,kind=steady,h2d_us=3.125,run_us=61.292,d2h_us=2.291,device_profile_status=0,device_us=12,cycles=4890,repeat_equal=1
iteration,index=7,kind=steady,h2d_us=3.000,run_us=61.333,d2h_us=2.417,device_profile_status=0,device_us=12,cycles=4824,repeat_equal=1
iteration,index=8,kind=steady,h2d_us=2.959,run_us=60.167,d2h_us=2.250,device_profile_status=0,device_us=12,cycles=4392,repeat_equal=1
iteration,index=9,kind=steady,h2d_us=3.000,run_us=60.208,d2h_us=2.250,device_profile_status=0,device_us=11,cycles=4395,repeat_equal=1
iteration,index=10,kind=steady,h2d_us=3.208,run_us=60.500,d2h_us=2.334,device_profile_status=0,device_us=12,cycles=4688,repeat_equal=1
iteration,index=11,kind=steady,h2d_us=2.916,run_us=60.459,d2h_us=2.375,device_profile_status=0,device_us=11,cycles=4607,repeat_equal=1
iteration,index=12,kind=steady,h2d_us=3.041,run_us=60.916,d2h_us=2.333,device_profile_status=0,device_us=12,cycles=4585,repeat_equal=1
