VIPLite driver software version 2.0.3.2-AW-2024-08-30
phase,name=init,time_us=3094.834
phase,name=create_network,time_us=126.291
network,inputs=2,outputs=1
tensor,kind=input,index=0,format=2,quant=1,dims=2,shape=18x4
buffer,kind=input,index=0,bytes=72
tensor,kind=input,index=1,format=2,quant=1,dims=2,shape=136x1
buffer,kind=input,index=1,bytes=136
tensor,kind=output,index=0,format=8,quant=1,dims=2,shape=16x1
buffer,kind=output,index=0,bytes=64
phase,name=create_buffers,time_us=90.292
phase,name=prepare,time_us=40.542
iteration,index=0,kind=first,h2d_us=5.750,run_us=109.916,d2h_us=1.583,device_profile_status=0,device_us=18,cycles=7391,repeat_equal=1
iteration,index=1,kind=steady,h2d_us=1.958,run_us=57.000,d2h_us=0.958,device_profile_status=0,device_us=14,cycles=7068,repeat_equal=1
iteration,index=2,kind=steady,h2d_us=1.375,run_us=53.000,d2h_us=0.875,device_profile_status=0,device_us=14,cycles=6600,repeat_equal=1
iteration,index=3,kind=steady,h2d_us=1.333,run_us=53.041,d2h_us=0.833,device_profile_status=0,device_us=14,cycles=6862,repeat_equal=1
iteration,index=4,kind=steady,h2d_us=1.250,run_us=53.250,d2h_us=0.875,device_profile_status=0,device_us=14,cycles=7354,repeat_equal=1
iteration,index=5,kind=steady,h2d_us=1.291,run_us=53.417,d2h_us=0.833,device_profile_status=0,device_us=14,cycles=7167,repeat_equal=1
iteration,index=6,kind=steady,h2d_us=1.250,run_us=53.458,d2h_us=0.875,device_profile_status=0,device_us=15,cycles=7103,repeat_equal=1
iteration,index=7,kind=steady,h2d_us=1.292,run_us=52.500,d2h_us=0.834,device_profile_status=0,device_us=14,cycles=6854,repeat_equal=1
iteration,index=8,kind=steady,h2d_us=1.292,run_us=52.500,d2h_us=0.875,device_profile_status=0,device_us=14,cycles=6908,repeat_equal=1
iteration,index=9,kind=steady,h2d_us=1.292,run_us=52.834,d2h_us=0.875,device_profile_status=0,device_us=14,cycles=6828,repeat_equal=1
iteration,index=10,kind=steady,h2d_us=1.292,run_us=52.417,d2h_us=0.834,device_profile_status=0,device_us=14,cycles=6804,repeat_equal=1
iteration,index=11,kind=steady,h2d_us=1.292,run_us=52.834,d2h_us=0.833,device_profile_status=0,device_us=14,cycles=6902,repeat_equal=1
iteration,index=12,kind=steady,h2d_us=1.292,run_us=52.959,d2h_us=0.875,device_profile_status=0,device_us=14,cycles=6961,repeat_equal=1
iteration,index=13,kind=steady,h2d_us=1.292,run_us=52.542,d2h_us=0.875,device_profile_status=0,device_us=13,cycles=6902,repeat_equal=1
iteration,index=14,kind=steady,h2d_us=1.291,run_us=52.333,d2h_us=0.875,device_profile_status=0,device_us=13,cycles=6851,repeat_equal=1
iteration,index=15,kind=steady,h2d_us=1.291,run_us=52.708,d2h_us=0.875,device_profile_status=0,device_us=14,cycles=6905,repeat_equal=1
iteration,index=16,kind=steady,h2d_us=1.250,run_us=53.125,d2h_us=0.875,device_profile_status=0,device_us=15,cycles=7047,repeat_equal=1
iteration,index=17,kind=steady,h2d_us=1.291,run_us=52.625,d2h_us=0.875,device_profile_status=0,device_us=14,cycles=6579,repeat_equal=1
iteration,index=18,kind=steady,h2d_us=1.250,run_us=52.292,d2h_us=0.875,device_profile_status=0,device_us=13,cycles=6649,repeat_equal=1
iteration,index=19,kind=steady,h2d_us=1.292,run_us=52.292,d2h_us=0.833,device_profile_status=0,device_us=14,cycles=6827,repeat_equal=1
iteration,index=20,kind=steady,h2d_us=1.292,run_us=52.833,d2h_us=0.833,device_profile_status=0,device_us=13,cycles=6915,repeat_equal=1
iteration,index=21,kind=steady,h2d_us=1.292,run_us=52.417,d2h_us=0.833,device_profile_status=0,device_us=14,cycles=6825,repeat_equal=1
iteration,index=22,kind=steady,h2d_us=1.291,run_us=53.000,d2h_us=0.834,device_profile_status=0,device_us=14,cycles=6895,repeat_equal=1
iteration,index=23,kind=steady,h2d_us=1.291,run_us=52.875,d2h_us=0.833,device_profile_status=0,device_us=14,cycles=6784,repeat_equal=1
iteration,index=24,kind=steady,h2d_us=1.250,run_us=52.459,d2h_us=0.875,device_profile_status=0,device_us=13,cycles=6663,repeat_equal=1
iteration,index=25,kind=steady,h2d_us=1.292,run_us=52.500,d2h_us=0.875,device_profile_status=0,device_us=14,cycles=7066,repeat_equal=1
iteration,index=26,kind=steady,h2d_us=1.292,run_us=52.792,d2h_us=0.833,device_profile_status=0,device_us=14,cycles=6877,repeat_equal=1
iteration,index=27,kind=steady,h2d_us=1.458,run_us=52.791,d2h_us=0.833,device_profile_status=0,device_us=13,cycles=6634,repeat_equal=1
iteration,index=28,kind=steady,h2d_us=1.291,run_us=53.375,d2h_us=0.833,device_profile_status=0,device_us=14,cycles=7249,repeat_equal=1
iteration,index=29,kind=steady,h2d_us=1.292,run_us=52.834,d2h_us=0.875,device_profile_status=0,device_us=14,cycles=7333,repeat_equal=1
iteration,index=30,kind=steady,h2d_us=1.292,run_us=53.333,d2h_us=0.875,device_profile_status=0,device_us=14,cycles=7181,repeat_equal=1
iteration,index=31,kind=steady,h2d_us=1.291,run_us=53.083,d2h_us=0.875,device_profile_status=0,device_us=14,cycles=7112,repeat_equal=1
iteration,index=32,kind=steady,h2d_us=1.292,run_us=52.791,d2h_us=0.833,device_profile_status=0,device_us=14,cycles=6919,repeat_equal=1
iteration,index=33,kind=steady,h2d_us=1.292,run_us=52.917,d2h_us=0.875,device_profile_status=0,device_us=14,cycles=6907,repeat_equal=1
iteration,index=34,kind=steady,h2d_us=1.291,run_us=52.666,d2h_us=0.833,device_profile_status=0,device_us=14,cycles=6898,repeat_equal=1
iteration,index=35,kind=steady,h2d_us=1.292,run_us=52.709,d2h_us=0.833,device_profile_status=0,device_us=14,cycles=6800,repeat_equal=1
iteration,index=36,kind=steady,h2d_us=1.291,run_us=52.583,d2h_us=0.875,device_profile_status=0,device_us=14,cycles=7019,repeat_equal=1
iteration,index=37,kind=steady,h2d_us=1.292,run_us=52.583,d2h_us=0.875,device_profile_status=0,device_us=14,cycles=6901,repeat_equal=1
iteration,index=38,kind=steady,h2d_us=1.291,run_us=52.625,d2h_us=0.833,device_profile_status=0,device_us=14,cycles=6912,repeat_equal=1
iteration,index=39,kind=steady,h2d_us=1.250,run_us=52.708,d2h_us=0.834,device_profile_status=0,device_us=14,cycles=7024,repeat_equal=1
iteration,index=40,kind=steady,h2d_us=1.292,run_us=53.000,d2h_us=0.833,device_profile_status=0,device_us=14,cycles=6907,repeat_equal=1
