VIPLite driver software version 2.0.3.2-AW-2024-08-30
phase,name=init,time_us=3393.667
phase,name=create_network,time_us=262.208
network,inputs=2,outputs=1
tensor,kind=input,index=0,format=2,quant=1,dims=2,shape=18x4
buffer,kind=input,index=0,bytes=72
tensor,kind=input,index=1,format=2,quant=1,dims=2,shape=136x1
buffer,kind=input,index=1,bytes=136
tensor,kind=output,index=0,format=8,quant=1,dims=2,shape=16x1
buffer,kind=output,index=0,bytes=64
phase,name=create_buffers,time_us=204.958
phase,name=prepare,time_us=98.500
iteration,index=0,kind=first,h2d_us=15.584,run_us=200.458,d2h_us=6.583,device_profile_status=0,device_us=20,cycles=7310,repeat_equal=1
iteration,index=1,kind=steady,h2d_us=4.958,run_us=73.583,d2h_us=2.375,device_profile_status=0,device_us=14,cycles=6727,repeat_equal=1
iteration,index=2,kind=steady,h2d_us=3.209,run_us=65.125,d2h_us=2.375,device_profile_status=0,device_us=14,cycles=6887,repeat_equal=1
iteration,index=3,kind=steady,h2d_us=3.167,run_us=64.000,d2h_us=2.375,device_profile_status=0,device_us=14,cycles=6543,repeat_equal=1
iteration,index=4,kind=steady,h2d_us=3.209,run_us=63.208,d2h_us=2.250,device_profile_status=0,device_us=14,cycles=7048,repeat_equal=1
iteration,index=5,kind=steady,h2d_us=2.958,run_us=62.959,d2h_us=2.291,device_profile_status=0,device_us=14,cycles=6879,repeat_equal=1
iteration,index=6,kind=steady,h2d_us=2.958,run_us=63.375,d2h_us=2.375,device_profile_status=0,device_us=14,cycles=7189,repeat_equal=1
iteration,index=7,kind=steady,h2d_us=2.916,run_us=62.333,d2h_us=2.292,device_profile_status=0,device_us=14,cycles=6544,repeat_equal=1
iteration,index=8,kind=steady,h2d_us=2.958,run_us=63.250,d2h_us=2.292,device_profile_status=0,device_us=14,cycles=7135,repeat_equal=1
iteration,index=9,kind=steady,h2d_us=3.166,run_us=62.833,d2h_us=2.375,device_profile_status=0,device_us=14,cycles=7027,repeat_equal=1
iteration,index=10,kind=steady,h2d_us=2.875,run_us=62.875,d2h_us=2.625,device_profile_status=0,device_us=14,cycles=6796,repeat_equal=1
iteration,index=11,kind=steady,h2d_us=3.166,run_us=63.542,d2h_us=2.250,device_profile_status=0,device_us=14,cycles=7139,repeat_equal=1
iteration,index=12,kind=steady,h2d_us=2.917,run_us=62.917,d2h_us=2.333,device_profile_status=0,device_us=14,cycles=6784,repeat_equal=1
iteration,index=13,kind=steady,h2d_us=2.917,run_us=62.917,d2h_us=2.333,device_profile_status=0,device_us=14,cycles=6869,repeat_equal=1
iteration,index=14,kind=steady,h2d_us=27.334,run_us=74.834,d2h_us=2.375,device_profile_status=0,device_us=15,cycles=7186,repeat_equal=1
iteration,index=15,kind=steady,h2d_us=3.375,run_us=69.583,d2h_us=2.334,device_profile_status=0,device_us=14,cycles=6789,repeat_equal=1
iteration,index=16,kind=steady,h2d_us=3.166,run_us=69.666,d2h_us=2.250,device_profile_status=0,device_us=15,cycles=7220,repeat_equal=1
iteration,index=17,kind=steady,h2d_us=3.083,run_us=63.375,d2h_us=2.291,device_profile_status=0,device_us=14,cycles=6778,repeat_equal=1
iteration,index=18,kind=steady,h2d_us=3.000,run_us=63.500,d2h_us=2.209,device_profile_status=0,device_us=15,cycles=7056,repeat_equal=1
iteration,index=19,kind=steady,h2d_us=2.875,run_us=62.709,d2h_us=2.291,device_profile_status=0,device_us=13,cycles=6947,repeat_equal=1
iteration,index=20,kind=steady,h2d_us=2.959,run_us=62.417,d2h_us=2.417,device_profile_status=0,device_us=14,cycles=6739,repeat_equal=1
iteration,index=21,kind=steady,h2d_us=2.833,run_us=62.750,d2h_us=2.333,device_profile_status=0,device_us=14,cycles=7049,repeat_equal=1
iteration,index=22,kind=steady,h2d_us=3.083,run_us=62.584,d2h_us=2.333,device_profile_status=0,device_us=14,cycles=6656,repeat_equal=1
iteration,index=23,kind=steady,h2d_us=3.000,run_us=63.334,d2h_us=2.208,device_profile_status=0,device_us=14,cycles=7059,repeat_equal=1
