VIPLite driver software version 2.0.3.2-AW-2024-08-30
phase,name=init,time_us=3367.875
phase,name=create_network,time_us=207.958
network,inputs=2,outputs=1
tensor,kind=input,index=0,format=2,quant=1,dims=2,shape=18x4
buffer,kind=input,index=0,bytes=72
tensor,kind=input,index=1,format=2,quant=1,dims=2,shape=136x1
buffer,kind=input,index=1,bytes=136
tensor,kind=output,index=0,format=8,quant=1,dims=2,shape=16x1
buffer,kind=output,index=0,bytes=64
phase,name=create_buffers,time_us=145.000
phase,name=prepare,time_us=66.500
iteration,index=0,kind=first,h2d_us=8.625,run_us=126.166,d2h_us=3.000,device_profile_status=0,device_us=16,cycles=7116,repeat_equal=1
iteration,index=1,kind=steady,h2d_us=4.000,run_us=65.458,d2h_us=2.250,device_profile_status=0,device_us=13,cycles=7296,repeat_equal=1
iteration,index=2,kind=steady,h2d_us=2.750,run_us=58.750,d2h_us=1.750,device_profile_status=0,device_us=12,cycles=6756,repeat_equal=1
iteration,index=3,kind=steady,h2d_us=2.708,run_us=58.292,d2h_us=1.708,device_profile_status=0,device_us=12,cycles=7259,repeat_equal=1
iteration,index=4,kind=steady,h2d_us=2.667,run_us=57.958,d2h_us=2.083,device_profile_status=0,device_us=13,cycles=6827,repeat_equal=1
iteration,index=5,kind=steady,h2d_us=2.667,run_us=57.041,d2h_us=1.750,device_profile_status=0,device_us=12,cycles=6666,repeat_equal=1
iteration,index=6,kind=steady,h2d_us=2.667,run_us=56.917,d2h_us=1.708,device_profile_status=0,device_us=12,cycles=6771,repeat_equal=1
iteration,index=7,kind=steady,h2d_us=2.666,run_us=56.709,d2h_us=2.000,device_profile_status=0,device_us=11,cycles=6666,repeat_equal=1
iteration,index=8,kind=steady,h2d_us=2.667,run_us=57.792,d2h_us=1.708,device_profile_status=0,device_us=12,cycles=7017,repeat_equal=1
iteration,index=9,kind=steady,h2d_us=2.667,run_us=57.250,d2h_us=1.708,device_profile_status=0,device_us=12,cycles=6677,repeat_equal=1
iteration,index=10,kind=steady,h2d_us=2.667,run_us=56.625,d2h_us=1.791,device_profile_status=0,device_us=11,cycles=6692,repeat_equal=1
iteration,index=11,kind=steady,h2d_us=2.666,run_us=56.750,d2h_us=1.708,device_profile_status=0,device_us=12,cycles=6759,repeat_equal=1
iteration,index=12,kind=steady,h2d_us=3.375,run_us=69.667,d2h_us=1.667,device_profile_status=0,device_us=14,cycles=12570,repeat_equal=1
iteration,index=13,kind=steady,h2d_us=2.667,run_us=66.167,d2h_us=1.708,device_profile_status=0,device_us=13,cycles=6973,repeat_equal=1
iteration,index=14,kind=steady,h2d_us=2.625,run_us=60.708,d2h_us=1.667,device_profile_status=0,device_us=13,cycles=7122,repeat_equal=1
iteration,index=15,kind=steady,h2d_us=2.542,run_us=59.458,d2h_us=1.708,device_profile_status=0,device_us=13,cycles=7281,repeat_equal=1
iteration,index=16,kind=steady,h2d_us=2.583,run_us=60.417,d2h_us=1.708,device_profile_status=0,device_us=14,cycles=6836,repeat_equal=1
iteration,index=17,kind=steady,h2d_us=2.584,run_us=60.125,d2h_us=1.666,device_profile_status=0,device_us=14,cycles=6949,repeat_equal=1
iteration,index=18,kind=steady,h2d_us=2.625,run_us=60.625,d2h_us=1.708,device_profile_status=0,device_us=12,cycles=6907,repeat_equal=1
iteration,index=19,kind=steady,h2d_us=2.583,run_us=57.542,d2h_us=1.666,device_profile_status=0,device_us=12,cycles=7077,repeat_equal=1
iteration,index=20,kind=steady,h2d_us=2.625,run_us=57.250,d2h_us=1.667,device_profile_status=0,device_us=12,cycles=7080,repeat_equal=1
iteration,index=21,kind=steady,h2d_us=2.625,run_us=56.542,d2h_us=1.708,device_profile_status=0,device_us=12,cycles=6643,repeat_equal=1
