VIPLite driver software version 2.0.3.2-AW-2024-08-30
phase,name=init,time_us=3395.958
phase,name=create_network,time_us=240.916
network,inputs=2,outputs=1
tensor,kind=input,index=0,format=2,quant=1,dims=2,shape=18x4
buffer,kind=input,index=0,bytes=72
tensor,kind=input,index=1,format=2,quant=1,dims=2,shape=136x1
buffer,kind=input,index=1,bytes=136
tensor,kind=output,index=0,format=8,quant=1,dims=2,shape=16x1
buffer,kind=output,index=0,bytes=64
phase,name=create_buffers,time_us=224.041
phase,name=prepare,time_us=99.125
iteration,index=0,kind=first,h2d_us=15.375,run_us=152.000,d2h_us=3.166,device_profile_status=0,device_us=19,cycles=7243,repeat_equal=1
iteration,index=1,kind=steady,h2d_us=4.708,run_us=73.167,d2h_us=2.458,device_profile_status=0,device_us=14,cycles=6858,repeat_equal=1
iteration,index=2,kind=steady,h2d_us=3.250,run_us=65.125,d2h_us=2.292,device_profile_status=0,device_us=14,cycles=7026,repeat_equal=1
iteration,index=3,kind=steady,h2d_us=3.208,run_us=64.541,d2h_us=2.375,device_profile_status=0,device_us=14,cycles=6793,repeat_equal=1
iteration,index=4,kind=steady,h2d_us=3.041,run_us=63.458,d2h_us=2.292,device_profile_status=0,device_us=14,cycles=6789,repeat_equal=1
iteration,index=5,kind=steady,h2d_us=3.083,run_us=64.084,d2h_us=2.333,device_profile_status=0,device_us=14,cycles=7325,repeat_equal=1
iteration,index=6,kind=steady,h2d_us=3.084,run_us=62.750,d2h_us=2.334,device_profile_status=0,device_us=14,cycles=6945,repeat_equal=1
iteration,index=7,kind=steady,h2d_us=2.958,run_us=63.417,d2h_us=2.209,device_profile_status=0,device_us=14,cycles=6927,repeat_equal=1
iteration,index=8,kind=steady,h2d_us=3.125,run_us=63.292,d2h_us=2.500,device_profile_status=0,device_us=15,cycles=6747,repeat_equal=1
iteration,index=9,kind=steady,h2d_us=3.042,run_us=62.334,d2h_us=2.208,device_profile_status=0,device_us=14,cycles=6909,repeat_equal=1
iteration,index=10,kind=steady,h2d_us=3.000,run_us=62.958,d2h_us=2.208,device_profile_status=0,device_us=13,cycles=6889,repeat_equal=1
iteration,index=11,kind=steady,h2d_us=3.000,run_us=63.500,d2h_us=2.250,device_profile_status=0,device_us=14,cycles=6896,repeat_equal=1
iteration,index=12,kind=steady,h2d_us=3.167,run_us=63.208,d2h_us=2.459,device_profile_status=0,device_us=14,cycles=7135,repeat_equal=1
iteration,index=13,kind=steady,h2d_us=2.875,run_us=63.416,d2h_us=2.292,device_profile_status=0,device_us=14,cycles=6885,repeat_equal=1
iteration,index=14,kind=steady,h2d_us=2.875,run_us=63.625,d2h_us=2.625,device_profile_status=0,device_us=15,cycles=7077,repeat_equal=1
iteration,index=15,kind=steady,h2d_us=3.042,run_us=62.625,d2h_us=2.292,device_profile_status=0,device_us=14,cycles=6941,repeat_equal=1
iteration,index=16,kind=steady,h2d_us=2.959,run_us=62.542,d2h_us=2.375,device_profile_status=0,device_us=14,cycles=6843,repeat_equal=1
iteration,index=17,kind=steady,h2d_us=2.958,run_us=63.209,d2h_us=2.250,device_profile_status=0,device_us=14,cycles=7009,repeat_equal=1
iteration,index=18,kind=steady,h2d_us=3.042,run_us=63.000,d2h_us=2.292,device_profile_status=0,device_us=14,cycles=6677,repeat_equal=1
iteration,index=19,kind=steady,h2d_us=3.000,run_us=63.666,d2h_us=2.292,device_profile_status=0,device_us=15,cycles=7257,repeat_equal=1
iteration,index=20,kind=steady,h2d_us=2.917,run_us=63.000,d2h_us=2.375,device_profile_status=0,device_us=14,cycles=7236,repeat_equal=1
iteration,index=21,kind=steady,h2d_us=3.041,run_us=62.708,d2h_us=2.292,device_profile_status=0,device_us=14,cycles=6623,repeat_equal=1
iteration,index=22,kind=steady,h2d_us=2.917,run_us=62.875,d2h_us=2.292,device_profile_status=0,device_us=14,cycles=7028,repeat_equal=1
iteration,index=23,kind=steady,h2d_us=2.917,run_us=62.917,d2h_us=2.291,device_profile_status=0,device_us=13,cycles=6745,repeat_equal=1
iteration,index=24,kind=steady,h2d_us=3.083,run_us=64.333,d2h_us=2.292,device_profile_status=0,device_us=14,cycles=7310,repeat_equal=1
iteration,index=25,kind=steady,h2d_us=3.166,run_us=63.458,d2h_us=2.500,device_profile_status=0,device_us=15,cycles=7291,repeat_equal=1
iteration,index=26,kind=steady,h2d_us=2.958,run_us=62.416,d2h_us=2.292,device_profile_status=0,device_us=14,cycles=6768,repeat_equal=1
iteration,index=27,kind=steady,h2d_us=3.583,run_us=64.458,d2h_us=2.292,device_profile_status=0,device_us=15,cycles=7036,repeat_equal=1
iteration,index=28,kind=steady,h2d_us=3.125,run_us=62.833,d2h_us=2.333,device_profile_status=0,device_us=14,cycles=6989,repeat_equal=1
iteration,index=29,kind=steady,h2d_us=3.083,run_us=63.459,d2h_us=2.583,device_profile_status=0,device_us=14,cycles=7310,repeat_equal=1
iteration,index=30,kind=steady,h2d_us=3.083,run_us=63.000,d2h_us=2.333,device_profile_status=0,device_us=14,cycles=7028,repeat_equal=1
iteration,index=31,kind=steady,h2d_us=3.000,run_us=62.750,d2h_us=2.375,device_profile_status=0,device_us=13,cycles=6920,repeat_equal=1
iteration,index=32,kind=steady,h2d_us=2.917,run_us=62.916,d2h_us=2.250,device_profile_status=0,device_us=13,cycles=6962,repeat_equal=1
