VIPLite driver software version 2.0.3.2-AW-2024-08-30
phase,name=init,time_us=3399.334
phase,name=create_network,time_us=257.750
network,inputs=2,outputs=1
tensor,kind=input,index=0,format=2,quant=1,dims=2,shape=18x4
buffer,kind=input,index=0,bytes=72
tensor,kind=input,index=1,format=2,quant=1,dims=2,shape=136x1
buffer,kind=input,index=1,bytes=136
tensor,kind=output,index=0,format=8,quant=1,dims=2,shape=16x1
buffer,kind=output,index=0,bytes=64
phase,name=create_buffers,time_us=204.541
phase,name=prepare,time_us=97.292
iteration,index=0,kind=first,h2d_us=16.084,run_us=165.000,d2h_us=7.791,device_profile_status=0,device_us=21,cycles=7176,repeat_equal=1
iteration,index=1,kind=steady,h2d_us=4.917,run_us=74.167,d2h_us=2.708,device_profile_status=0,device_us=15,cycles=6804,repeat_equal=1
iteration,index=2,kind=steady,h2d_us=4.166,run_us=79.125,d2h_us=2.458,device_profile_status=0,device_us=23,cycles=7573,repeat_equal=1
iteration,index=3,kind=steady,h2d_us=3.125,run_us=64.458,d2h_us=2.292,device_profile_status=0,device_us=14,cycles=6823,repeat_equal=1
iteration,index=4,kind=steady,h2d_us=3.166,run_us=63.250,d2h_us=2.375,device_profile_status=0,device_us=14,cycles=6583,repeat_equal=1
iteration,index=5,kind=steady,h2d_us=3.167,run_us=63.916,d2h_us=2.291,device_profile_status=0,device_us=14,cycles=6889,repeat_equal=1
iteration,index=6,kind=steady,h2d_us=3.042,run_us=63.708,d2h_us=2.334,device_profile_status=0,device_us=14,cycles=6801,repeat_equal=1
iteration,index=7,kind=steady,h2d_us=3.041,run_us=63.333,d2h_us=2.334,device_profile_status=0,device_us=15,cycles=7180,repeat_equal=1
iteration,index=8,kind=steady,h2d_us=3.041,run_us=62.958,d2h_us=2.375,device_profile_status=0,device_us=14,cycles=7175,repeat_equal=1
iteration,index=9,kind=steady,h2d_us=2.958,run_us=62.458,d2h_us=2.250,device_profile_status=0,device_us=13,cycles=6725,repeat_equal=1
iteration,index=10,kind=steady,h2d_us=3.000,run_us=63.208,d2h_us=2.791,device_profile_status=0,device_us=14,cycles=7112,repeat_equal=1
iteration,index=11,kind=steady,h2d_us=2.916,run_us=64.125,d2h_us=2.583,device_profile_status=0,device_us=14,cycles=6972,repeat_equal=1
iteration,index=12,kind=steady,h2d_us=3.125,run_us=63.833,d2h_us=2.583,device_profile_status=0,device_us=14,cycles=7135,repeat_equal=1
iteration,index=13,kind=steady,h2d_us=3.042,run_us=63.500,d2h_us=2.375,device_profile_status=0,device_us=14,cycles=7074,repeat_equal=1
iteration,index=14,kind=steady,h2d_us=3.041,run_us=62.958,d2h_us=2.333,device_profile_status=0,device_us=14,cycles=6835,repeat_equal=1
iteration,index=15,kind=steady,h2d_us=3.000,run_us=62.875,d2h_us=2.333,device_profile_status=0,device_us=14,cycles=6776,repeat_equal=1
iteration,index=16,kind=steady,h2d_us=2.958,run_us=63.667,d2h_us=2.458,device_profile_status=0,device_us=15,cycles=7326,repeat_equal=1
iteration,index=17,kind=steady,h2d_us=2.959,run_us=62.833,d2h_us=2.250,device_profile_status=0,device_us=14,cycles=6977,repeat_equal=1
iteration,index=18,kind=steady,h2d_us=3.125,run_us=62.583,d2h_us=2.208,device_profile_status=0,device_us=13,cycles=6673,repeat_equal=1
iteration,index=19,kind=steady,h2d_us=3.167,run_us=63.084,d2h_us=2.333,device_profile_status=0,device_us=14,cycles=6914,repeat_equal=1
iteration,index=20,kind=steady,h2d_us=3.167,run_us=62.917,d2h_us=2.292,device_profile_status=0,device_us=13,cycles=6994,repeat_equal=1
iteration,index=21,kind=steady,h2d_us=3.167,run_us=63.166,d2h_us=2.250,device_profile_status=0,device_us=14,cycles=7060,repeat_equal=1
iteration,index=22,kind=steady,h2d_us=3.042,run_us=62.750,d2h_us=2.333,device_profile_status=0,device_us=13,cycles=6879,repeat_equal=1
iteration,index=23,kind=steady,h2d_us=3.000,run_us=63.041,d2h_us=2.292,device_profile_status=0,device_us=14,cycles=7040,repeat_equal=1
iteration,index=24,kind=steady,h2d_us=3.041,run_us=63.541,d2h_us=2.292,device_profile_status=0,device_us=14,cycles=6643,repeat_equal=1
iteration,index=25,kind=steady,h2d_us=3.167,run_us=62.584,d2h_us=2.417,device_profile_status=0,device_us=14,cycles=6696,repeat_equal=1
iteration,index=26,kind=steady,h2d_us=3.084,run_us=63.375,d2h_us=2.250,device_profile_status=0,device_us=14,cycles=6802,repeat_equal=1
iteration,index=27,kind=steady,h2d_us=3.792,run_us=64.375,d2h_us=2.542,device_profile_status=0,device_us=14,cycles=7063,repeat_equal=1
iteration,index=28,kind=steady,h2d_us=3.208,run_us=62.875,d2h_us=2.375,device_profile_status=0,device_us=14,cycles=6861,repeat_equal=1
iteration,index=29,kind=steady,h2d_us=3.042,run_us=63.542,d2h_us=2.375,device_profile_status=0,device_us=15,cycles=7033,repeat_equal=1
iteration,index=30,kind=steady,h2d_us=3.083,run_us=63.750,d2h_us=2.583,device_profile_status=0,device_us=15,cycles=7181,repeat_equal=1
iteration,index=31,kind=steady,h2d_us=3.334,run_us=63.208,d2h_us=2.709,device_profile_status=0,device_us=14,cycles=7052,repeat_equal=1
iteration,index=32,kind=steady,h2d_us=3.167,run_us=63.709,d2h_us=2.625,device_profile_status=0,device_us=14,cycles=7172,repeat_equal=1
iteration,index=33,kind=steady,h2d_us=3.125,run_us=64.250,d2h_us=2.333,device_profile_status=0,device_us=14,cycles=7304,repeat_equal=1
iteration,index=34,kind=steady,h2d_us=3.125,run_us=63.625,d2h_us=2.542,device_profile_status=0,device_us=14,cycles=7144,repeat_equal=1
iteration,index=35,kind=steady,h2d_us=3.042,run_us=63.542,d2h_us=2.667,device_profile_status=0,device_us=14,cycles=7118,repeat_equal=1
iteration,index=36,kind=steady,h2d_us=2.917,run_us=63.042,d2h_us=2.375,device_profile_status=0,device_us=14,cycles=7152,repeat_equal=1
iteration,index=37,kind=steady,h2d_us=3.084,run_us=63.250,d2h_us=2.292,device_profile_status=0,device_us=14,cycles=6950,repeat_equal=1
iteration,index=38,kind=steady,h2d_us=3.084,run_us=63.000,d2h_us=2.333,device_profile_status=0,device_us=13,cycles=6875,repeat_equal=1
iteration,index=39,kind=steady,h2d_us=3.167,run_us=62.917,d2h_us=2.666,device_profile_status=0,device_us=14,cycles=6801,repeat_equal=1
iteration,index=40,kind=steady,h2d_us=3.125,run_us=62.917,d2h_us=2.291,device_profile_status=0,device_us=14,cycles=7107,repeat_equal=1
