VIPLite driver software version 2.0.3.2-AW-2024-08-30
phase,name=init,time_us=3594.250
phase,name=create_network,time_us=255.209
network,inputs=2,outputs=1
tensor,kind=input,index=0,format=2,quant=1,dims=2,shape=720x4
buffer,kind=input,index=0,bytes=2880
tensor,kind=input,index=1,format=2,quant=1,dims=2,shape=5440x1
buffer,kind=input,index=1,bytes=5440
tensor,kind=output,index=0,format=8,quant=1,dims=2,shape=16x1
buffer,kind=output,index=0,bytes=64
phase,name=create_buffers,time_us=215.667
phase,name=prepare,time_us=97.875
iteration,index=0,kind=first,h2d_us=19.583,run_us=448.500,d2h_us=3.416,device_profile_status=0,device_us=283,cycles=185028,repeat_equal=1
iteration,index=1,kind=steady,h2d_us=7.458,run_us=270.334,d2h_us=3.125,device_profile_status=0,device_us=220,cycles=184121,repeat_equal=1
iteration,index=2,kind=steady,h2d_us=4.958,run_us=258.000,d2h_us=2.375,device_profile_status=0,device_us=218,cycles=184447,repeat_equal=1
iteration,index=3,kind=steady,h2d_us=5.459,run_us=256.375,d2h_us=2.416,device_profile_status=0,device_us=217,cycles=184283,repeat_equal=1
iteration,index=4,kind=steady,h2d_us=4.959,run_us=257.166,d2h_us=2.375,device_profile_status=0,device_us=219,cycles=184908,repeat_equal=1
iteration,index=5,kind=steady,h2d_us=5.041,run_us=257.291,d2h_us=2.375,device_profile_status=0,device_us=220,cycles=185314,repeat_equal=1
iteration,index=6,kind=steady,h2d_us=4.917,run_us=255.334,d2h_us=2.333,device_profile_status=0,device_us=217,cycles=183915,repeat_equal=1
iteration,index=7,kind=steady,h2d_us=4.750,run_us=256.375,d2h_us=2.334,device_profile_status=0,device_us=218,cycles=184585,repeat_equal=1
iteration,index=8,kind=steady,h2d_us=4.875,run_us=257.042,d2h_us=2.333,device_profile_status=0,device_us=218,cycles=184606,repeat_equal=1
iteration,index=9,kind=steady,h2d_us=4.833,run_us=231.459,d2h_us=3.083,device_profile_status=0,device_us=192,cycles=185753,repeat_equal=1
iteration,index=10,kind=steady,h2d_us=5.833,run_us=229.584,d2h_us=2.375,device_profile_status=0,device_us=190,cycles=185423,repeat_equal=1
iteration,index=11,kind=steady,h2d_us=5.000,run_us=226.250,d2h_us=2.416,device_profile_status=0,device_us=188,cycles=184369,repeat_equal=1
iteration,index=12,kind=steady,h2d_us=5.000,run_us=226.333,d2h_us=2.334,device_profile_status=0,device_us=188,cycles=184276,repeat_equal=1
iteration,index=13,kind=steady,h2d_us=4.708,run_us=226.542,d2h_us=2.417,device_profile_status=0,device_us=188,cycles=184638,repeat_equal=1
iteration,index=14,kind=steady,h2d_us=4.875,run_us=225.250,d2h_us=2.291,device_profile_status=0,device_us=186,cycles=183854,repeat_equal=1
iteration,index=15,kind=steady,h2d_us=4.959,run_us=226.042,d2h_us=2.250,device_profile_status=0,device_us=188,cycles=184937,repeat_equal=1
iteration,index=16,kind=steady,h2d_us=4.916,run_us=227.416,d2h_us=2.334,device_profile_status=0,device_us=189,cycles=185318,repeat_equal=1
iteration,index=17,kind=steady,h2d_us=4.958,run_us=224.625,d2h_us=2.291,device_profile_status=0,device_us=186,cycles=183796,repeat_equal=1
iteration,index=18,kind=steady,h2d_us=5.000,run_us=224.958,d2h_us=2.333,device_profile_status=0,device_us=187,cycles=183971,repeat_equal=1
iteration,index=19,kind=steady,h2d_us=4.958,run_us=225.250,d2h_us=2.417,device_profile_status=0,device_us=187,cycles=184046,repeat_equal=1
iteration,index=20,kind=steady,h2d_us=4.875,run_us=224.791,d2h_us=2.333,device_profile_status=0,device_us=187,cycles=183843,repeat_equal=1
iteration,index=21,kind=steady,h2d_us=5.084,run_us=225.542,d2h_us=2.625,device_profile_status=0,device_us=187,cycles=183871,repeat_equal=1
iteration,index=22,kind=steady,h2d_us=4.959,run_us=225.667,d2h_us=2.250,device_profile_status=0,device_us=187,cycles=184402,repeat_equal=1
iteration,index=23,kind=steady,h2d_us=4.792,run_us=225.500,d2h_us=2.250,device_profile_status=0,device_us=187,cycles=184523,repeat_equal=1
iteration,index=24,kind=steady,h2d_us=4.875,run_us=225.291,d2h_us=2.333,device_profile_status=0,device_us=187,cycles=184406,repeat_equal=1
iteration,index=25,kind=steady,h2d_us=5.000,run_us=226.916,d2h_us=2.459,device_profile_status=0,device_us=188,cycles=184310,repeat_equal=1
iteration,index=26,kind=steady,h2d_us=5.667,run_us=228.833,d2h_us=2.375,device_profile_status=0,device_us=189,cycles=185245,repeat_equal=1
iteration,index=27,kind=steady,h2d_us=5.041,run_us=225.666,d2h_us=2.250,device_profile_status=0,device_us=187,cycles=184197,repeat_equal=1
iteration,index=28,kind=steady,h2d_us=4.875,run_us=225.583,d2h_us=2.292,device_profile_status=0,device_us=187,cycles=184510,repeat_equal=1
