VIPLite driver software version 2.0.3.2-AW-2024-08-30
phase,name=init,time_us=3594.333
phase,name=create_network,time_us=255.584
network,inputs=2,outputs=1
tensor,kind=input,index=0,format=2,quant=1,dims=2,shape=720x4
buffer,kind=input,index=0,bytes=2880
tensor,kind=input,index=1,format=2,quant=1,dims=2,shape=5440x1
buffer,kind=input,index=1,bytes=5440
tensor,kind=output,index=0,format=8,quant=1,dims=2,shape=16x1
buffer,kind=output,index=0,bytes=64
phase,name=create_buffers,time_us=210.458
phase,name=prepare,time_us=93.250
iteration,index=0,kind=first,h2d_us=19.167,run_us=354.708,d2h_us=3.375,device_profile_status=0,device_us=195,cycles=184746,repeat_equal=1
iteration,index=1,kind=steady,h2d_us=7.042,run_us=283.416,d2h_us=2.750,device_profile_status=0,device_us=189,cycles=184808,repeat_equal=1
iteration,index=2,kind=steady,h2d_us=5.333,run_us=252.917,d2h_us=2.375,device_profile_status=0,device_us=189,cycles=184632,repeat_equal=1
iteration,index=3,kind=steady,h2d_us=5.000,run_us=239.750,d2h_us=2.417,device_profile_status=0,device_us=189,cycles=184711,repeat_equal=1
iteration,index=4,kind=steady,h2d_us=4.875,run_us=238.125,d2h_us=2.458,device_profile_status=0,device_us=188,cycles=184094,repeat_equal=1
iteration,index=5,kind=steady,h2d_us=4.916,run_us=239.916,d2h_us=2.500,device_profile_status=0,device_us=189,cycles=184838,repeat_equal=1
iteration,index=6,kind=steady,h2d_us=4.792,run_us=239.250,d2h_us=2.375,device_profile_status=0,device_us=190,cycles=184788,repeat_equal=1
iteration,index=7,kind=steady,h2d_us=5.042,run_us=295.709,d2h_us=3.833,device_profile_status=0,device_us=191,cycles=185615,repeat_equal=1
iteration,index=8,kind=steady,h2d_us=4.042,run_us=287.000,d2h_us=4.208,device_profile_status=0,device_us=188,cycles=184868,repeat_equal=1
iteration,index=9,kind=steady,h2d_us=3.625,run_us=288.917,d2h_us=4.375,device_profile_status=0,device_us=189,cycles=184689,repeat_equal=1
iteration,index=10,kind=steady,h2d_us=3.417,run_us=289.208,d2h_us=4.208,device_profile_status=0,device_us=188,cycles=184698,repeat_equal=1
iteration,index=11,kind=steady,h2d_us=3.375,run_us=289.375,d2h_us=4.209,device_profile_status=0,device_us=189,cycles=184377,repeat_equal=1
iteration,index=12,kind=steady,h2d_us=3.458,run_us=289.792,d2h_us=4.167,device_profile_status=0,device_us=189,cycles=185455,repeat_equal=1
iteration,index=13,kind=steady,h2d_us=3.459,run_us=288.000,d2h_us=4.375,device_profile_status=0,device_us=188,cycles=184694,repeat_equal=1
iteration,index=14,kind=steady,h2d_us=3.583,run_us=234.084,d2h_us=0.959,device_profile_status=0,device_us=189,cycles=185089,repeat_equal=1
iteration,index=15,kind=steady,h2d_us=3.167,run_us=228.375,d2h_us=1.250,device_profile_status=0,device_us=189,cycles=185385,repeat_equal=1
iteration,index=16,kind=steady,h2d_us=3.125,run_us=227.000,d2h_us=0.875,device_profile_status=0,device_us=188,cycles=184183,repeat_equal=1
iteration,index=17,kind=steady,h2d_us=3.084,run_us=228.750,d2h_us=0.875,device_profile_status=0,device_us=189,cycles=185960,repeat_equal=1
iteration,index=18,kind=steady,h2d_us=3.041,run_us=227.250,d2h_us=0.875,device_profile_status=0,device_us=188,cycles=184393,repeat_equal=1
iteration,index=19,kind=steady,h2d_us=3.125,run_us=228.083,d2h_us=0.875,device_profile_status=0,device_us=189,cycles=184864,repeat_equal=1
iteration,index=20,kind=steady,h2d_us=3.042,run_us=227.042,d2h_us=0.875,device_profile_status=0,device_us=188,cycles=184306,repeat_equal=1
iteration,index=21,kind=steady,h2d_us=3.083,run_us=228.250,d2h_us=0.875,device_profile_status=0,device_us=189,cycles=184857,repeat_equal=1
iteration,index=22,kind=steady,h2d_us=3.041,run_us=240.833,d2h_us=1.250,device_profile_status=0,device_us=190,cycles=186333,repeat_equal=1
iteration,index=23,kind=steady,h2d_us=3.209,run_us=229.792,d2h_us=0.875,device_profile_status=0,device_us=190,cycles=185512,repeat_equal=1
iteration,index=24,kind=steady,h2d_us=3.083,run_us=228.041,d2h_us=1.208,device_profile_status=0,device_us=189,cycles=185420,repeat_equal=1
iteration,index=25,kind=steady,h2d_us=3.125,run_us=227.417,d2h_us=0.834,device_profile_status=0,device_us=189,cycles=184644,repeat_equal=1
iteration,index=26,kind=steady,h2d_us=3.333,run_us=227.500,d2h_us=0.917,device_profile_status=0,device_us=188,cycles=184391,repeat_equal=1
