VIPLite driver software version 2.0.3.2-AW-2024-08-30
phase,name=init,time_us=3598.917
phase,name=create_network,time_us=248.709
network,inputs=2,outputs=1
tensor,kind=input,index=0,format=2,quant=1,dims=2,shape=720x4
buffer,kind=input,index=0,bytes=2880
tensor,kind=input,index=1,format=2,quant=1,dims=2,shape=5440x1
buffer,kind=input,index=1,bytes=5440
tensor,kind=output,index=0,format=8,quant=1,dims=2,shape=16x1
buffer,kind=output,index=0,bytes=64
phase,name=create_buffers,time_us=206.792
phase,name=prepare,time_us=92.917
iteration,index=0,kind=first,h2d_us=18.917,run_us=387.500,d2h_us=3.250,device_profile_status=0,device_us=232,cycles=185190,repeat_equal=1
iteration,index=1,kind=steady,h2d_us=6.542,run_us=328.541,d2h_us=2.583,device_profile_status=0,device_us=228,cycles=186033,repeat_equal=1
iteration,index=2,kind=steady,h2d_us=5.125,run_us=283.791,d2h_us=2.709,device_profile_status=0,device_us=190,cycles=184533,repeat_equal=1
iteration,index=3,kind=steady,h2d_us=4.833,run_us=242.958,d2h_us=2.292,device_profile_status=0,device_us=191,cycles=185400,repeat_equal=1
iteration,index=4,kind=steady,h2d_us=5.000,run_us=239.750,d2h_us=2.375,device_profile_status=0,device_us=190,cycles=184292,repeat_equal=1
iteration,index=5,kind=steady,h2d_us=5.000,run_us=239.000,d2h_us=2.208,device_profile_status=0,device_us=189,cycles=183871,repeat_equal=1
iteration,index=6,kind=steady,h2d_us=4.958,run_us=248.292,d2h_us=2.916,device_profile_status=0,device_us=197,cycles=188829,repeat_equal=1
iteration,index=7,kind=steady,h2d_us=5.667,run_us=244.583,d2h_us=2.333,device_profile_status=0,device_us=192,cycles=184523,repeat_equal=1
iteration,index=8,kind=steady,h2d_us=5.084,run_us=240.250,d2h_us=2.584,device_profile_status=0,device_us=190,cycles=184277,repeat_equal=1
iteration,index=9,kind=steady,h2d_us=4.958,run_us=239.583,d2h_us=2.292,device_profile_status=0,device_us=190,cycles=184531,repeat_equal=1
iteration,index=10,kind=steady,h2d_us=4.958,run_us=240.625,d2h_us=2.333,device_profile_status=0,device_us=190,cycles=185150,repeat_equal=1
iteration,index=11,kind=steady,h2d_us=4.958,run_us=241.375,d2h_us=2.375,device_profile_status=0,device_us=191,cycles=185165,repeat_equal=1
iteration,index=12,kind=steady,h2d_us=4.916,run_us=240.209,d2h_us=2.666,device_profile_status=0,device_us=189,cycles=184146,repeat_equal=1
iteration,index=13,kind=steady,h2d_us=4.875,run_us=239.916,d2h_us=2.375,device_profile_status=0,device_us=190,cycles=184419,repeat_equal=1
iteration,index=14,kind=steady,h2d_us=5.000,run_us=238.791,d2h_us=2.416,device_profile_status=0,device_us=189,cycles=183875,repeat_equal=1
iteration,index=15,kind=steady,h2d_us=4.875,run_us=241.250,d2h_us=2.333,device_profile_status=0,device_us=191,cycles=185498,repeat_equal=1
iteration,index=16,kind=steady,h2d_us=5.208,run_us=239.875,d2h_us=2.291,device_profile_status=0,device_us=191,cycles=184589,repeat_equal=1
iteration,index=17,kind=steady,h2d_us=4.875,run_us=240.667,d2h_us=2.208,device_profile_status=0,device_us=190,cycles=184850,repeat_equal=1
iteration,index=18,kind=steady,h2d_us=5.125,run_us=240.541,d2h_us=2.291,device_profile_status=0,device_us=191,cycles=184855,repeat_equal=1
iteration,index=19,kind=steady,h2d_us=5.041,run_us=241.375,d2h_us=2.333,device_profile_status=0,device_us=191,cycles=184856,repeat_equal=1
iteration,index=20,kind=steady,h2d_us=5.000,run_us=239.792,d2h_us=2.250,device_profile_status=0,device_us=190,cycles=184549,repeat_equal=1
iteration,index=21,kind=steady,h2d_us=4.834,run_us=245.500,d2h_us=2.750,device_profile_status=0,device_us=193,cycles=186733,repeat_equal=1
iteration,index=22,kind=steady,h2d_us=5.542,run_us=241.292,d2h_us=2.500,device_profile_status=0,device_us=190,cycles=184054,repeat_equal=1
iteration,index=23,kind=steady,h2d_us=5.000,run_us=241.875,d2h_us=2.333,device_profile_status=0,device_us=192,cycles=185950,repeat_equal=1
iteration,index=24,kind=steady,h2d_us=5.125,run_us=239.375,d2h_us=2.292,device_profile_status=0,device_us=189,cycles=184407,repeat_equal=1
iteration,index=25,kind=steady,h2d_us=4.958,run_us=240.666,d2h_us=2.292,device_profile_status=0,device_us=191,cycles=184799,repeat_equal=1
iteration,index=26,kind=steady,h2d_us=5.625,run_us=242.583,d2h_us=2.333,device_profile_status=0,device_us=192,cycles=186065,repeat_equal=1
iteration,index=27,kind=steady,h2d_us=5.042,run_us=240.542,d2h_us=2.333,device_profile_status=0,device_us=190,cycles=184248,repeat_equal=1
iteration,index=28,kind=steady,h2d_us=4.917,run_us=239.417,d2h_us=2.292,device_profile_status=0,device_us=190,cycles=184122,repeat_equal=1
iteration,index=29,kind=steady,h2d_us=4.959,run_us=239.625,d2h_us=2.333,device_profile_status=0,device_us=190,cycles=184277,repeat_equal=1
iteration,index=30,kind=steady,h2d_us=5.000,run_us=240.250,d2h_us=2.375,device_profile_status=0,device_us=190,cycles=184859,repeat_equal=1
