VIPLite driver software version 2.0.3.2-AW-2024-08-30
phase,name=init,time_us=3610.917
phase,name=create_network,time_us=258.375
network,inputs=2,outputs=1
tensor,kind=input,index=0,format=2,quant=1,dims=2,shape=720x4
buffer,kind=input,index=0,bytes=2880
tensor,kind=input,index=1,format=2,quant=1,dims=2,shape=5440x1
buffer,kind=input,index=1,bytes=5440
tensor,kind=output,index=0,format=0,quant=1,dims=2,shape=16x1
buffer,kind=output,index=0,bytes=64
phase,name=create_buffers,time_us=209.500
phase,name=prepare,time_us=89.875
iteration,index=0,kind=first,h2d_us=18.791,run_us=386.291,d2h_us=3.375,device_profile_status=0,device_us=244,cycles=236533,repeat_equal=1
iteration,index=1,kind=steady,h2d_us=7.375,run_us=282.500,d2h_us=2.417,device_profile_status=0,device_us=239,cycles=235280,repeat_equal=1
iteration,index=2,kind=steady,h2d_us=5.166,run_us=279.750,d2h_us=2.458,device_profile_status=0,device_us=239,cycles=236848,repeat_equal=1
iteration,index=3,kind=steady,h2d_us=4.875,run_us=278.583,d2h_us=2.375,device_profile_status=0,device_us=239,cycles=235933,repeat_equal=1
iteration,index=4,kind=steady,h2d_us=5.042,run_us=277.917,d2h_us=2.375,device_profile_status=0,device_us=240,cycles=236648,repeat_equal=1
iteration,index=5,kind=steady,h2d_us=4.875,run_us=277.208,d2h_us=2.459,device_profile_status=0,device_us=239,cycles=236404,repeat_equal=1
iteration,index=6,kind=steady,h2d_us=4.750,run_us=280.292,d2h_us=2.708,device_profile_status=0,device_us=241,cycles=237908,repeat_equal=1
iteration,index=7,kind=steady,h2d_us=5.667,run_us=293.833,d2h_us=2.375,device_profile_status=0,device_us=246,cycles=241111,repeat_equal=1
iteration,index=8,kind=steady,h2d_us=5.084,run_us=280.000,d2h_us=2.375,device_profile_status=0,device_us=240,cycles=236762,repeat_equal=1
iteration,index=9,kind=steady,h2d_us=4.958,run_us=276.959,d2h_us=2.375,device_profile_status=0,device_us=238,cycles=235613,repeat_equal=1
iteration,index=10,kind=steady,h2d_us=4.917,run_us=278.083,d2h_us=2.375,device_profile_status=0,device_us=239,cycles=236823,repeat_equal=1
iteration,index=11,kind=steady,h2d_us=4.916,run_us=276.500,d2h_us=2.292,device_profile_status=0,device_us=238,cycles=235722,repeat_equal=1
iteration,index=12,kind=steady,h2d_us=4.875,run_us=277.375,d2h_us=2.333,device_profile_status=0,device_us=239,cycles=236862,repeat_equal=1
iteration,index=13,kind=steady,h2d_us=5.208,run_us=277.625,d2h_us=2.333,device_profile_status=0,device_us=240,cycles=236657,repeat_equal=1
iteration,index=14,kind=steady,h2d_us=4.833,run_us=278.459,d2h_us=2.333,device_profile_status=0,device_us=239,cycles=236723,repeat_equal=1
iteration,index=15,kind=steady,h2d_us=5.125,run_us=276.209,d2h_us=2.208,device_profile_status=0,device_us=238,cycles=235520,repeat_equal=1
iteration,index=16,kind=steady,h2d_us=4.917,run_us=278.167,d2h_us=2.333,device_profile_status=0,device_us=240,cycles=236948,repeat_equal=1
iteration,index=17,kind=steady,h2d_us=4.792,run_us=278.167,d2h_us=2.375,device_profile_status=0,device_us=239,cycles=236821,repeat_equal=1
iteration,index=18,kind=steady,h2d_us=5.000,run_us=276.458,d2h_us=2.292,device_profile_status=0,device_us=239,cycles=235300,repeat_equal=1
iteration,index=19,kind=steady,h2d_us=4.875,run_us=277.833,d2h_us=2.291,device_profile_status=0,device_us=239,cycles=236652,repeat_equal=1
iteration,index=20,kind=steady,h2d_us=4.875,run_us=282.833,d2h_us=2.583,device_profile_status=0,device_us=244,cycles=240614,repeat_equal=1
iteration,index=21,kind=steady,h2d_us=5.375,run_us=278.958,d2h_us=2.375,device_profile_status=0,device_us=238,cycles=235278,repeat_equal=1
iteration,index=22,kind=steady,h2d_us=5.000,run_us=277.209,d2h_us=2.375,device_profile_status=0,device_us=239,cycles=235306,repeat_equal=1
iteration,index=23,kind=steady,h2d_us=4.958,run_us=278.083,d2h_us=2.333,device_profile_status=0,device_us=240,cycles=236880,repeat_equal=1
iteration,index=24,kind=steady,h2d_us=5.042,run_us=278.250,d2h_us=2.333,device_profile_status=0,device_us=240,cycles=236882,repeat_equal=1
iteration,index=25,kind=steady,h2d_us=4.917,run_us=277.125,d2h_us=2.291,device_profile_status=0,device_us=238,cycles=235193,repeat_equal=1
iteration,index=26,kind=steady,h2d_us=5.667,run_us=277.667,d2h_us=2.750,device_profile_status=0,device_us=238,cycles=235322,repeat_equal=1
iteration,index=27,kind=steady,h2d_us=4.875,run_us=277.000,d2h_us=2.292,device_profile_status=0,device_us=239,cycles=235188,repeat_equal=1
iteration,index=28,kind=steady,h2d_us=4.792,run_us=277.833,d2h_us=2.416,device_profile_status=0,device_us=238,cycles=235669,repeat_equal=1
iteration,index=29,kind=steady,h2d_us=4.875,run_us=278.125,d2h_us=2.250,device_profile_status=0,device_us=240,cycles=236885,repeat_equal=1
iteration,index=30,kind=steady,h2d_us=4.916,run_us=277.708,d2h_us=2.334,device_profile_status=0,device_us=240,cycles=236790,repeat_equal=1
iteration,index=31,kind=steady,h2d_us=4.792,run_us=278.292,d2h_us=2.250,device_profile_status=0,device_us=239,cycles=236213,repeat_equal=1
iteration,index=32,kind=steady,h2d_us=5.000,run_us=277.125,d2h_us=2.334,device_profile_status=0,device_us=239,cycles=235298,repeat_equal=1
iteration,index=33,kind=steady,h2d_us=4.875,run_us=279.583,d2h_us=2.791,device_profile_status=0,device_us=240,cycles=237448,repeat_equal=1
iteration,index=34,kind=steady,h2d_us=5.208,run_us=279.875,d2h_us=2.375,device_profile_status=0,device_us=239,cycles=236885,repeat_equal=1
iteration,index=35,kind=steady,h2d_us=5.083,run_us=278.250,d2h_us=2.250,device_profile_status=0,device_us=239,cycles=236223,repeat_equal=1
iteration,index=36,kind=steady,h2d_us=4.875,run_us=276.500,d2h_us=2.458,device_profile_status=0,device_us=239,cycles=235284,repeat_equal=1
iteration,index=37,kind=steady,h2d_us=4.875,run_us=277.708,d2h_us=2.375,device_profile_status=0,device_us=239,cycles=236893,repeat_equal=1
iteration,index=38,kind=steady,h2d_us=4.875,run_us=278.208,d2h_us=2.709,device_profile_status=0,device_us=239,cycles=236029,repeat_equal=1
iteration,index=39,kind=steady,h2d_us=4.833,run_us=277.459,d2h_us=2.250,device_profile_status=0,device_us=239,cycles=236653,repeat_equal=1
iteration,index=40,kind=steady,h2d_us=4.875,run_us=278.209,d2h_us=2.375,device_profile_status=0,device_us=240,cycles=236915,repeat_equal=1
iteration,index=41,kind=steady,h2d_us=4.833,run_us=277.333,d2h_us=2.250,device_profile_status=0,device_us=239,cycles=236611,repeat_equal=1
iteration,index=42,kind=steady,h2d_us=4.958,run_us=278.792,d2h_us=2.375,device_profile_status=0,device_us=240,cycles=236895,repeat_equal=1
iteration,index=43,kind=steady,h2d_us=5.000,run_us=276.958,d2h_us=2.333,device_profile_status=0,device_us=239,cycles=235298,repeat_equal=1
iteration,index=44,kind=steady,h2d_us=4.917,run_us=277.209,d2h_us=2.291,device_profile_status=0,device_us=239,cycles=236419,repeat_equal=1
iteration,index=45,kind=steady,h2d_us=4.875,run_us=278.584,d2h_us=2.667,device_profile_status=0,device_us=239,cycles=236677,repeat_equal=1
iteration,index=46,kind=steady,h2d_us=4.958,run_us=278.458,d2h_us=2.416,device_profile_status=0,device_us=240,cycles=237204,repeat_equal=1
iteration,index=47,kind=steady,h2d_us=5.166,run_us=277.916,d2h_us=2.333,device_profile_status=0,device_us=239,cycles=235599,repeat_equal=1
iteration,index=48,kind=steady,h2d_us=4.959,run_us=277.708,d2h_us=2.334,device_profile_status=0,device_us=239,cycles=236911,repeat_equal=1
iteration,index=49,kind=steady,h2d_us=4.791,run_us=278.500,d2h_us=2.334,device_profile_status=0,device_us=239,cycles=236706,repeat_equal=1
iteration,index=50,kind=steady,h2d_us=4.833,run_us=276.834,d2h_us=2.333,device_profile_status=0,device_us=239,cycles=235833,repeat_equal=1
iteration,index=51,kind=steady,h2d_us=4.875,run_us=277.542,d2h_us=2.291,device_profile_status=0,device_us=239,cycles=236649,repeat_equal=1
iteration,index=52,kind=steady,h2d_us=5.000,run_us=277.792,d2h_us=2.333,device_profile_status=0,device_us=239,cycles=236248,repeat_equal=1
iteration,index=53,kind=steady,h2d_us=4.916,run_us=277.209,d2h_us=2.333,device_profile_status=0,device_us=238,cycles=235382,repeat_equal=1
iteration,index=54,kind=steady,h2d_us=4.833,run_us=277.291,d2h_us=2.375,device_profile_status=0,device_us=239,cycles=236338,repeat_equal=1
iteration,index=55,kind=steady,h2d_us=4.875,run_us=276.875,d2h_us=2.333,device_profile_status=0,device_us=238,cycles=235939,repeat_equal=1
iteration,index=56,kind=steady,h2d_us=5.542,run_us=278.667,d2h_us=2.542,device_profile_status=0,device_us=238,cycles=235732,repeat_equal=1
iteration,index=57,kind=steady,h2d_us=5.083,run_us=278.291,d2h_us=2.292,device_profile_status=0,device_us=240,cycles=236988,repeat_equal=1
iteration,index=58,kind=steady,h2d_us=4.833,run_us=277.125,d2h_us=2.375,device_profile_status=0,device_us=238,cycles=235981,repeat_equal=1
iteration,index=59,kind=steady,h2d_us=4.958,run_us=278.041,d2h_us=2.833,device_profile_status=0,device_us=239,cycles=236033,repeat_equal=1
iteration,index=60,kind=steady,h2d_us=4.834,run_us=288.375,d2h_us=2.416,device_profile_status=0,device_us=240,cycles=236436,repeat_equal=1
iteration,index=61,kind=steady,h2d_us=5.333,run_us=277.458,d2h_us=2.375,device_profile_status=0,device_us=239,cycles=235301,repeat_equal=1
iteration,index=62,kind=steady,h2d_us=4.791,run_us=277.792,d2h_us=2.375,device_profile_status=0,device_us=240,cycles=236865,repeat_equal=1
iteration,index=63,kind=steady,h2d_us=4.875,run_us=278.083,d2h_us=2.292,device_profile_status=0,device_us=240,cycles=236893,repeat_equal=1
iteration,index=64,kind=steady,h2d_us=5.000,run_us=277.625,d2h_us=2.417,device_profile_status=0,device_us=240,cycles=236550,repeat_equal=1
iteration,index=65,kind=steady,h2d_us=4.958,run_us=277.041,d2h_us=2.209,device_profile_status=0,device_us=239,cycles=235955,repeat_equal=1
iteration,index=66,kind=steady,h2d_us=4.875,run_us=278.208,d2h_us=2.750,device_profile_status=0,device_us=240,cycles=236686,repeat_equal=1
iteration,index=67,kind=steady,h2d_us=4.875,run_us=277.667,d2h_us=2.292,device_profile_status=0,device_us=239,cycles=236816,repeat_equal=1
iteration,index=68,kind=steady,h2d_us=4.958,run_us=277.166,d2h_us=2.250,device_profile_status=0,device_us=239,cycles=236293,repeat_equal=1
iteration,index=69,kind=steady,h2d_us=4.916,run_us=277.625,d2h_us=2.333,device_profile_status=0,device_us=239,cycles=236897,repeat_equal=1
iteration,index=70,kind=steady,h2d_us=4.875,run_us=278.000,d2h_us=2.292,device_profile_status=0,device_us=239,cycles=236009,repeat_equal=1
iteration,index=71,kind=steady,h2d_us=4.833,run_us=278.250,d2h_us=2.250,device_profile_status=0,device_us=239,cycles=236911,repeat_equal=1
iteration,index=72,kind=steady,h2d_us=4.750,run_us=277.459,d2h_us=2.250,device_profile_status=0,device_us=239,cycles=236770,repeat_equal=1
iteration,index=73,kind=steady,h2d_us=4.833,run_us=281.167,d2h_us=3.042,device_profile_status=0,device_us=240,cycles=237293,repeat_equal=1
iteration,index=74,kind=steady,h2d_us=5.458,run_us=278.917,d2h_us=2.458,device_profile_status=0,device_us=239,cycles=235932,repeat_equal=1
iteration,index=75,kind=steady,h2d_us=5.167,run_us=322.167,d2h_us=4.667,device_profile_status=0,device_us=240,cycles=237200,repeat_equal=1
iteration,index=76,kind=steady,h2d_us=5.667,run_us=279.708,d2h_us=2.417,device_profile_status=0,device_us=239,cycles=235214,repeat_equal=1
iteration,index=77,kind=steady,h2d_us=4.917,run_us=277.417,d2h_us=2.333,device_profile_status=0,device_us=238,cycles=235177,repeat_equal=1
iteration,index=78,kind=steady,h2d_us=5.041,run_us=277.583,d2h_us=2.542,device_profile_status=0,device_us=239,cycles=236650,repeat_equal=1
iteration,index=79,kind=steady,h2d_us=4.917,run_us=277.416,d2h_us=2.375,device_profile_status=0,device_us=239,cycles=236328,repeat_equal=1
iteration,index=80,kind=steady,h2d_us=4.917,run_us=278.084,d2h_us=2.666,device_profile_status=0,device_us=239,cycles=235364,repeat_equal=1
iteration,index=81,kind=steady,h2d_us=4.833,run_us=278.333,d2h_us=2.292,device_profile_status=0,device_us=239,cycles=236941,repeat_equal=1
iteration,index=82,kind=steady,h2d_us=4.750,run_us=277.000,d2h_us=2.334,device_profile_status=0,device_us=239,cycles=235744,repeat_equal=1
