VIPLite driver software version 2.0.3.2-AW-2024-08-30
phase,name=init,time_us=4030.708
phase,name=create_network,time_us=365.125
network,inputs=2,outputs=1
tensor,kind=input,index=0,format=2,quant=1,dims=2,shape=720x4
buffer,kind=input,index=0,bytes=2880
tensor,kind=input,index=1,format=2,quant=1,dims=2,shape=5440x1
buffer,kind=input,index=1,bytes=5440
tensor,kind=output,index=0,format=0,quant=1,dims=2,shape=16x1
buffer,kind=output,index=0,bytes=64
phase,name=create_buffers,time_us=228.750
phase,name=prepare,time_us=101.834
iteration,index=0,kind=first,h2d_us=23.625,run_us=600.708,d2h_us=4.375,device_profile_status=0,device_us=307,cycles=244748,repeat_equal=1
iteration,index=1,kind=steady,h2d_us=8.125,run_us=448.791,d2h_us=2.792,device_profile_status=0,device_us=300,cycles=242705,repeat_equal=1
iteration,index=2,kind=steady,h2d_us=5.125,run_us=318.875,d2h_us=2.958,device_profile_status=0,device_us=256,cycles=246644,repeat_equal=1
iteration,index=3,kind=steady,h2d_us=5.084,run_us=301.542,d2h_us=2.708,device_profile_status=0,device_us=248,cycles=240668,repeat_equal=1
iteration,index=4,kind=steady,h2d_us=5.000,run_us=303.583,d2h_us=2.834,device_profile_status=0,device_us=252,cycles=245133,repeat_equal=1
iteration,index=5,kind=steady,h2d_us=4.958,run_us=302.291,d2h_us=2.542,device_profile_status=0,device_us=251,cycles=244213,repeat_equal=1
iteration,index=6,kind=steady,h2d_us=4.959,run_us=300.125,d2h_us=2.417,device_profile_status=0,device_us=248,cycles=241682,repeat_equal=1
iteration,index=7,kind=steady,h2d_us=5.084,run_us=331.458,d2h_us=2.583,device_profile_status=0,device_us=252,cycles=243868,repeat_equal=1
iteration,index=8,kind=steady,h2d_us=5.416,run_us=301.875,d2h_us=2.583,device_profile_status=0,device_us=251,cycles=242763,repeat_equal=1
iteration,index=9,kind=steady,h2d_us=5.042,run_us=300.542,d2h_us=2.500,device_profile_status=0,device_us=250,cycles=242369,repeat_equal=1
iteration,index=10,kind=steady,h2d_us=5.000,run_us=299.792,d2h_us=3.000,device_profile_status=0,device_us=250,cycles=242014,repeat_equal=1
iteration,index=11,kind=steady,h2d_us=4.792,run_us=301.833,d2h_us=2.417,device_profile_status=0,device_us=251,cycles=244350,repeat_equal=1
iteration,index=12,kind=steady,h2d_us=4.833,run_us=302.292,d2h_us=2.500,device_profile_status=0,device_us=251,cycles=243681,repeat_equal=1
iteration,index=13,kind=steady,h2d_us=4.958,run_us=297.959,d2h_us=2.541,device_profile_status=0,device_us=247,cycles=239729,repeat_equal=1
iteration,index=14,kind=steady,h2d_us=4.916,run_us=296.417,d2h_us=2.542,device_profile_status=0,device_us=245,cycles=238612,repeat_equal=1
iteration,index=15,kind=steady,h2d_us=4.917,run_us=296.458,d2h_us=3.000,device_profile_status=0,device_us=246,cycles=238777,repeat_equal=1
iteration,index=16,kind=steady,h2d_us=4.959,run_us=297.333,d2h_us=2.541,device_profile_status=0,device_us=246,cycles=238861,repeat_equal=1
iteration,index=17,kind=steady,h2d_us=5.083,run_us=295.709,d2h_us=2.458,device_profile_status=0,device_us=245,cycles=238855,repeat_equal=1
iteration,index=18,kind=steady,h2d_us=4.958,run_us=296.375,d2h_us=2.500,device_profile_status=0,device_us=246,cycles=239127,repeat_equal=1
iteration,index=19,kind=steady,h2d_us=5.083,run_us=300.125,d2h_us=2.792,device_profile_status=0,device_us=247,cycles=239270,repeat_equal=1
iteration,index=20,kind=steady,h2d_us=5.333,run_us=298.250,d2h_us=2.542,device_profile_status=0,device_us=246,cycles=239496,repeat_equal=1
iteration,index=21,kind=steady,h2d_us=5.042,run_us=295.750,d2h_us=2.500,device_profile_status=0,device_us=245,cycles=238453,repeat_equal=1
iteration,index=22,kind=steady,h2d_us=4.959,run_us=297.542,d2h_us=2.458,device_profile_status=0,device_us=246,cycles=238973,repeat_equal=1
iteration,index=23,kind=steady,h2d_us=4.959,run_us=296.000,d2h_us=2.583,device_profile_status=0,device_us=246,cycles=238885,repeat_equal=1
iteration,index=24,kind=steady,h2d_us=4.958,run_us=297.000,d2h_us=2.333,device_profile_status=0,device_us=247,cycles=240405,repeat_equal=1
iteration,index=25,kind=steady,h2d_us=5.000,run_us=298.958,d2h_us=2.542,device_profile_status=0,device_us=247,cycles=240697,repeat_equal=1
iteration,index=26,kind=steady,h2d_us=5.792,run_us=297.583,d2h_us=2.917,device_profile_status=0,device_us=246,cycles=238857,repeat_equal=1
iteration,index=27,kind=steady,h2d_us=5.208,run_us=295.291,d2h_us=3.042,device_profile_status=0,device_us=245,cycles=238242,repeat_equal=1
iteration,index=28,kind=steady,h2d_us=4.875,run_us=297.500,d2h_us=2.708,device_profile_status=0,device_us=247,cycles=239909,repeat_equal=1
iteration,index=29,kind=steady,h2d_us=4.917,run_us=296.208,d2h_us=2.584,device_profile_status=0,device_us=246,cycles=238796,repeat_equal=1
iteration,index=30,kind=steady,h2d_us=4.875,run_us=297.917,d2h_us=3.000,device_profile_status=0,device_us=247,cycles=240702,repeat_equal=1
iteration,index=31,kind=steady,h2d_us=5.042,run_us=298.125,d2h_us=2.750,device_profile_status=0,device_us=246,cycles=239551,repeat_equal=1
iteration,index=32,kind=steady,h2d_us=5.167,run_us=297.792,d2h_us=2.417,device_profile_status=0,device_us=246,cycles=238765,repeat_equal=1
iteration,index=33,kind=steady,h2d_us=4.958,run_us=295.333,d2h_us=2.583,device_profile_status=0,device_us=244,cycles=238410,repeat_equal=1
iteration,index=34,kind=steady,h2d_us=4.875,run_us=298.417,d2h_us=2.666,device_profile_status=0,device_us=248,cycles=241240,repeat_equal=1
iteration,index=35,kind=steady,h2d_us=5.333,run_us=298.500,d2h_us=2.500,device_profile_status=0,device_us=248,cycles=241010,repeat_equal=1
iteration,index=36,kind=steady,h2d_us=5.084,run_us=301.208,d2h_us=2.500,device_profile_status=0,device_us=251,cycles=243849,repeat_equal=1
iteration,index=37,kind=steady,h2d_us=5.167,run_us=297.959,d2h_us=3.000,device_profile_status=0,device_us=247,cycles=240843,repeat_equal=1
iteration,index=38,kind=steady,h2d_us=4.791,run_us=303.333,d2h_us=3.125,device_profile_status=0,device_us=250,cycles=242526,repeat_equal=1
iteration,index=39,kind=steady,h2d_us=5.417,run_us=306.584,d2h_us=3.250,device_profile_status=0,device_us=254,cycles=247286,repeat_equal=1
iteration,index=40,kind=steady,h2d_us=5.250,run_us=307.750,d2h_us=2.958,device_profile_status=0,device_us=255,cycles=248212,repeat_equal=1
iteration,index=41,kind=steady,h2d_us=4.958,run_us=299.542,d2h_us=2.708,device_profile_status=0,device_us=246,cycles=239053,repeat_equal=1
iteration,index=42,kind=steady,h2d_us=4.917,run_us=295.542,d2h_us=2.708,device_profile_status=0,device_us=243,cycles=236739,repeat_equal=1
iteration,index=43,kind=steady,h2d_us=4.833,run_us=314.500,d2h_us=3.167,device_profile_status=0,device_us=261,cycles=238589,repeat_equal=1
iteration,index=44,kind=steady,h2d_us=5.584,run_us=302.083,d2h_us=3.084,device_profile_status=0,device_us=249,cycles=241370,repeat_equal=1
iteration,index=45,kind=steady,h2d_us=4.959,run_us=296.792,d2h_us=2.458,device_profile_status=0,device_us=246,cycles=238890,repeat_equal=1
iteration,index=46,kind=steady,h2d_us=4.875,run_us=298.625,d2h_us=2.542,device_profile_status=0,device_us=248,cycles=241722,repeat_equal=1
iteration,index=47,kind=steady,h2d_us=5.083,run_us=300.750,d2h_us=2.875,device_profile_status=0,device_us=251,cycles=243244,repeat_equal=1
iteration,index=48,kind=steady,h2d_us=5.125,run_us=301.209,d2h_us=2.416,device_profile_status=0,device_us=250,cycles=243568,repeat_equal=1
iteration,index=49,kind=steady,h2d_us=4.917,run_us=302.333,d2h_us=2.667,device_profile_status=0,device_us=252,cycles=244802,repeat_equal=1
iteration,index=50,kind=steady,h2d_us=5.166,run_us=302.291,d2h_us=2.541,device_profile_status=0,device_us=252,cycles=244503,repeat_equal=1
iteration,index=51,kind=steady,h2d_us=5.209,run_us=297.000,d2h_us=2.625,device_profile_status=0,device_us=246,cycles=239167,repeat_equal=1
iteration,index=52,kind=steady,h2d_us=5.083,run_us=298.334,d2h_us=2.541,device_profile_status=0,device_us=248,cycles=241151,repeat_equal=1
iteration,index=53,kind=steady,h2d_us=5.083,run_us=296.792,d2h_us=2.917,device_profile_status=0,device_us=247,cycles=239897,repeat_equal=1
iteration,index=54,kind=steady,h2d_us=5.083,run_us=298.458,d2h_us=2.458,device_profile_status=0,device_us=248,cycles=240925,repeat_equal=1
iteration,index=55,kind=steady,h2d_us=5.250,run_us=298.125,d2h_us=2.500,device_profile_status=0,device_us=248,cycles=241556,repeat_equal=1
iteration,index=56,kind=steady,h2d_us=6.833,run_us=302.042,d2h_us=2.875,device_profile_status=0,device_us=248,cycles=241135,repeat_equal=1
iteration,index=57,kind=steady,h2d_us=5.417,run_us=301.708,d2h_us=2.458,device_profile_status=0,device_us=249,cycles=242813,repeat_equal=1
iteration,index=58,kind=steady,h2d_us=5.041,run_us=298.750,d2h_us=2.667,device_profile_status=0,device_us=248,cycles=242076,repeat_equal=1
iteration,index=59,kind=steady,h2d_us=5.167,run_us=297.583,d2h_us=2.459,device_profile_status=0,device_us=247,cycles=240709,repeat_equal=1
iteration,index=60,kind=steady,h2d_us=5.083,run_us=301.417,d2h_us=2.458,device_profile_status=0,device_us=250,cycles=243938,repeat_equal=1
iteration,index=61,kind=steady,h2d_us=5.000,run_us=298.833,d2h_us=2.417,device_profile_status=0,device_us=248,cycles=241843,repeat_equal=1
iteration,index=62,kind=steady,h2d_us=5.083,run_us=302.584,d2h_us=2.375,device_profile_status=0,device_us=252,cycles=244996,repeat_equal=1
iteration,index=63,kind=steady,h2d_us=5.292,run_us=300.000,d2h_us=2.542,device_profile_status=0,device_us=250,cycles=243111,repeat_equal=1
iteration,index=64,kind=steady,h2d_us=5.042,run_us=297.917,d2h_us=2.750,device_profile_status=0,device_us=247,cycles=239725,repeat_equal=1
iteration,index=65,kind=steady,h2d_us=5.209,run_us=303.458,d2h_us=2.584,device_profile_status=0,device_us=252,cycles=245915,repeat_equal=1
iteration,index=66,kind=steady,h2d_us=4.958,run_us=302.166,d2h_us=2.584,device_profile_status=0,device_us=252,cycles=244753,repeat_equal=1
iteration,index=67,kind=steady,h2d_us=5.334,run_us=303.708,d2h_us=2.875,device_profile_status=0,device_us=252,cycles=245548,repeat_equal=1
iteration,index=68,kind=steady,h2d_us=5.459,run_us=301.750,d2h_us=3.292,device_profile_status=0,device_us=249,cycles=242797,repeat_equal=1
iteration,index=69,kind=steady,h2d_us=5.583,run_us=304.084,d2h_us=2.500,device_profile_status=0,device_us=252,cycles=245012,repeat_equal=1
iteration,index=70,kind=steady,h2d_us=5.125,run_us=303.667,d2h_us=2.583,device_profile_status=0,device_us=252,cycles=245188,repeat_equal=1
iteration,index=71,kind=steady,h2d_us=5.083,run_us=302.292,d2h_us=2.458,device_profile_status=0,device_us=252,cycles=244199,repeat_equal=1
iteration,index=72,kind=steady,h2d_us=5.375,run_us=301.250,d2h_us=2.459,device_profile_status=0,device_us=251,cycles=244003,repeat_equal=1
iteration,index=73,kind=steady,h2d_us=5.000,run_us=306.000,d2h_us=2.458,device_profile_status=0,device_us=254,cycles=246671,repeat_equal=1
iteration,index=74,kind=steady,h2d_us=5.125,run_us=299.792,d2h_us=3.208,device_profile_status=0,device_us=249,cycles=242072,repeat_equal=1
iteration,index=75,kind=steady,h2d_us=5.500,run_us=299.667,d2h_us=2.541,device_profile_status=0,device_us=249,cycles=241987,repeat_equal=1
iteration,index=76,kind=steady,h2d_us=5.208,run_us=302.042,d2h_us=2.667,device_profile_status=0,device_us=251,cycles=244388,repeat_equal=1
iteration,index=77,kind=steady,h2d_us=5.292,run_us=300.042,d2h_us=2.750,device_profile_status=0,device_us=248,cycles=241415,repeat_equal=1
iteration,index=78,kind=steady,h2d_us=5.208,run_us=301.792,d2h_us=2.708,device_profile_status=0,device_us=250,cycles=242832,repeat_equal=1
iteration,index=79,kind=steady,h2d_us=5.166,run_us=299.625,d2h_us=2.500,device_profile_status=0,device_us=248,cycles=242256,repeat_equal=1
iteration,index=80,kind=steady,h2d_us=5.166,run_us=319.583,d2h_us=3.875,device_profile_status=0,device_us=256,cycles=249019,repeat_equal=1
iteration,index=81,kind=steady,h2d_us=5.625,run_us=308.167,d2h_us=3.250,device_profile_status=0,device_us=254,cycles=245855,repeat_equal=1
iteration,index=82,kind=steady,h2d_us=5.125,run_us=300.500,d2h_us=2.916,device_profile_status=0,device_us=249,cycles=242570,repeat_equal=1
iteration,index=83,kind=steady,h2d_us=5.000,run_us=302.792,d2h_us=2.500,device_profile_status=0,device_us=251,cycles=245354,repeat_equal=1
iteration,index=84,kind=steady,h2d_us=4.959,run_us=297.667,d2h_us=3.083,device_profile_status=0,device_us=248,cycles=241297,repeat_equal=1
