VIPLite driver software version 2.0.3.2-AW-2024-08-30
phase,name=init,time_us=3518.625
phase,name=create_network,time_us=260.458
network,inputs=2,outputs=1
tensor,kind=input,index=0,format=2,quant=1,dims=2,shape=720x4
buffer,kind=input,index=0,bytes=2880
tensor,kind=input,index=1,format=2,quant=1,dims=2,shape=5440x1
buffer,kind=input,index=1,bytes=5440
tensor,kind=output,index=0,format=0,quant=1,dims=2,shape=16x1
buffer,kind=output,index=0,bytes=64
phase,name=create_buffers,time_us=220.708
phase,name=prepare,time_us=92.500
iteration,index=0,kind=first,h2d_us=19.875,run_us=459.292,d2h_us=5.750,device_profile_status=0,device_us=286,cycles=239861,repeat_equal=1
iteration,index=1,kind=steady,h2d_us=7.916,run_us=318.167,d2h_us=2.458,device_profile_status=0,device_us=245,cycles=237160,repeat_equal=1
iteration,index=2,kind=steady,h2d_us=5.625,run_us=294.000,d2h_us=2.458,device_profile_status=0,device_us=242,cycles=236488,repeat_equal=1
iteration,index=3,kind=steady,h2d_us=5.083,run_us=292.833,d2h_us=2.417,device_profile_status=0,device_us=242,cycles=236826,repeat_equal=1
iteration,index=4,kind=steady,h2d_us=5.000,run_us=291.625,d2h_us=2.334,device_profile_status=0,device_us=242,cycles=236797,repeat_equal=1
iteration,index=5,kind=steady,h2d_us=5.000,run_us=291.333,d2h_us=2.375,device_profile_status=0,device_us=241,cycles=235470,repeat_equal=1
iteration,index=6,kind=steady,h2d_us=4.834,run_us=290.833,d2h_us=2.333,device_profile_status=0,device_us=241,cycles=235464,repeat_equal=1
iteration,index=7,kind=steady,h2d_us=5.125,run_us=291.375,d2h_us=2.334,device_profile_status=0,device_us=241,cycles=235473,repeat_equal=1
iteration,index=8,kind=steady,h2d_us=4.875,run_us=290.917,d2h_us=2.250,device_profile_status=0,device_us=241,cycles=235456,repeat_equal=1
iteration,index=9,kind=steady,h2d_us=4.834,run_us=291.375,d2h_us=2.417,device_profile_status=0,device_us=241,cycles=236201,repeat_equal=1
iteration,index=10,kind=steady,h2d_us=5.000,run_us=292.208,d2h_us=2.292,device_profile_status=0,device_us=241,cycles=235606,repeat_equal=1
iteration,index=11,kind=steady,h2d_us=4.917,run_us=292.125,d2h_us=2.333,device_profile_status=0,device_us=242,cycles=237092,repeat_equal=1
iteration,index=12,kind=steady,h2d_us=5.000,run_us=295.792,d2h_us=2.500,device_profile_status=0,device_us=244,cycles=236336,repeat_equal=1
iteration,index=13,kind=steady,h2d_us=5.416,run_us=293.791,d2h_us=2.291,device_profile_status=0,device_us=242,cycles=236121,repeat_equal=1
iteration,index=14,kind=steady,h2d_us=4.875,run_us=292.625,d2h_us=2.250,device_profile_status=0,device_us=242,cycles=236910,repeat_equal=1
iteration,index=15,kind=steady,h2d_us=4.792,run_us=291.333,d2h_us=2.167,device_profile_status=0,device_us=241,cycles=235468,repeat_equal=1
iteration,index=16,kind=steady,h2d_us=5.000,run_us=290.875,d2h_us=2.291,device_profile_status=0,device_us=241,cycles=235997,repeat_equal=1
iteration,index=17,kind=steady,h2d_us=4.917,run_us=292.167,d2h_us=2.333,device_profile_status=0,device_us=241,cycles=236200,repeat_equal=1
iteration,index=18,kind=steady,h2d_us=5.208,run_us=292.167,d2h_us=2.708,device_profile_status=0,device_us=242,cycles=237067,repeat_equal=1
iteration,index=19,kind=steady,h2d_us=5.042,run_us=290.417,d2h_us=2.250,device_profile_status=0,device_us=240,cycles=235668,repeat_equal=1
iteration,index=20,kind=steady,h2d_us=5.000,run_us=292.417,d2h_us=2.459,device_profile_status=0,device_us=242,cycles=236386,repeat_equal=1
iteration,index=21,kind=steady,h2d_us=4.875,run_us=292.000,d2h_us=2.334,device_profile_status=0,device_us=242,cycles=237078,repeat_equal=1
iteration,index=22,kind=steady,h2d_us=5.042,run_us=290.375,d2h_us=2.292,device_profile_status=0,device_us=241,cycles=235421,repeat_equal=1
iteration,index=23,kind=steady,h2d_us=4.917,run_us=291.125,d2h_us=2.292,device_profile_status=0,device_us=241,cycles=236643,repeat_equal=1
iteration,index=24,kind=steady,h2d_us=4.959,run_us=292.666,d2h_us=2.333,device_profile_status=0,device_us=242,cycles=236959,repeat_equal=1
