VIPLite driver software version 2.0.3.2-AW-2024-08-30
phase,name=init,time_us=3613.917
phase,name=create_network,time_us=257.583
network,inputs=2,outputs=1
tensor,kind=input,index=0,format=2,quant=1,dims=2,shape=720x4
buffer,kind=input,index=0,bytes=2880
tensor,kind=input,index=1,format=2,quant=1,dims=2,shape=5440x1
buffer,kind=input,index=1,bytes=5440
tensor,kind=output,index=0,format=0,quant=1,dims=2,shape=16x1
buffer,kind=output,index=0,bytes=64
phase,name=create_buffers,time_us=208.958
phase,name=prepare,time_us=88.750
iteration,index=0,kind=first,h2d_us=18.125,run_us=415.250,d2h_us=4.041,device_profile_status=0,device_us=246,cycles=237450,repeat_equal=1
iteration,index=1,kind=steady,h2d_us=6.584,run_us=353.875,d2h_us=2.458,device_profile_status=0,device_us=240,cycles=235905,repeat_equal=1
iteration,index=2,kind=steady,h2d_us=5.083,run_us=303.667,d2h_us=2.458,device_profile_status=0,device_us=240,cycles=235963,repeat_equal=1
iteration,index=3,kind=steady,h2d_us=5.125,run_us=288.917,d2h_us=2.375,device_profile_status=0,device_us=240,cycles=236513,repeat_equal=1
iteration,index=4,kind=steady,h2d_us=4.916,run_us=287.583,d2h_us=2.750,device_profile_status=0,device_us=239,cycles=236146,repeat_equal=1
iteration,index=5,kind=steady,h2d_us=4.875,run_us=286.750,d2h_us=2.541,device_profile_status=0,device_us=240,cycles=236652,repeat_equal=1
iteration,index=6,kind=steady,h2d_us=4.875,run_us=318.875,d2h_us=2.709,device_profile_status=0,device_us=250,cycles=242303,repeat_equal=1
iteration,index=7,kind=steady,h2d_us=5.375,run_us=290.917,d2h_us=2.250,device_profile_status=0,device_us=240,cycles=235610,repeat_equal=1
iteration,index=8,kind=steady,h2d_us=4.917,run_us=286.667,d2h_us=2.375,device_profile_status=0,device_us=239,cycles=236363,repeat_equal=1
iteration,index=9,kind=steady,h2d_us=4.917,run_us=285.958,d2h_us=2.334,device_profile_status=0,device_us=239,cycles=235478,repeat_equal=1
iteration,index=10,kind=steady,h2d_us=4.750,run_us=288.084,d2h_us=2.333,device_profile_status=0,device_us=240,cycles=237134,repeat_equal=1
iteration,index=11,kind=steady,h2d_us=5.000,run_us=286.417,d2h_us=2.583,device_profile_status=0,device_us=240,cycles=235343,repeat_equal=1
iteration,index=12,kind=steady,h2d_us=5.042,run_us=286.875,d2h_us=2.709,device_profile_status=0,device_us=240,cycles=236801,repeat_equal=1
iteration,index=13,kind=steady,h2d_us=4.875,run_us=287.833,d2h_us=2.375,device_profile_status=0,device_us=240,cycles=236825,repeat_equal=1
