VIPLite driver software version 2.0.3.2-AW-2024-08-30
phase,name=init,time_us=3923.542
phase,name=create_network,time_us=345.667
network,inputs=2,outputs=1
tensor,kind=input,index=0,format=2,quant=1,dims=2,shape=720x4
buffer,kind=input,index=0,bytes=2880
tensor,kind=input,index=1,format=2,quant=1,dims=2,shape=5440x1
buffer,kind=input,index=1,bytes=5440
tensor,kind=output,index=0,format=0,quant=1,dims=2,shape=16x1
buffer,kind=output,index=0,bytes=64
phase,name=create_buffers,time_us=222.875
phase,name=prepare,time_us=97.750
iteration,index=0,kind=first,h2d_us=21.334,run_us=494.666,d2h_us=4.292,device_profile_status=0,device_us=254,cycles=239879,repeat_equal=1
iteration,index=1,kind=steady,h2d_us=7.125,run_us=310.458,d2h_us=2.917,device_profile_status=0,device_us=248,cycles=240280,repeat_equal=1
iteration,index=2,kind=steady,h2d_us=5.458,run_us=300.875,d2h_us=2.875,device_profile_status=0,device_us=247,cycles=240759,repeat_equal=1
iteration,index=3,kind=steady,h2d_us=5.083,run_us=297.875,d2h_us=2.750,device_profile_status=0,device_us=247,cycles=239907,repeat_equal=1
iteration,index=4,kind=steady,h2d_us=5.125,run_us=299.875,d2h_us=2.750,device_profile_status=0,device_us=248,cycles=241659,repeat_equal=1
iteration,index=5,kind=steady,h2d_us=5.125,run_us=304.666,d2h_us=4.000,device_profile_status=0,device_us=252,cycles=243849,repeat_equal=1
iteration,index=6,kind=steady,h2d_us=5.500,run_us=304.000,d2h_us=2.708,device_profile_status=0,device_us=252,cycles=245246,repeat_equal=1
iteration,index=7,kind=steady,h2d_us=5.125,run_us=300.708,d2h_us=2.500,device_profile_status=0,device_us=248,cycles=241375,repeat_equal=1
iteration,index=8,kind=steady,h2d_us=5.125,run_us=300.417,d2h_us=2.625,device_profile_status=0,device_us=251,cycles=242970,repeat_equal=1
iteration,index=9,kind=steady,h2d_us=4.917,run_us=298.083,d2h_us=2.542,device_profile_status=0,device_us=247,cycles=240043,repeat_equal=1
iteration,index=10,kind=steady,h2d_us=5.083,run_us=296.750,d2h_us=2.542,device_profile_status=0,device_us=246,cycles=239052,repeat_equal=1
iteration,index=11,kind=steady,h2d_us=5.209,run_us=303.292,d2h_us=2.458,device_profile_status=0,device_us=253,cycles=245965,repeat_equal=1
iteration,index=12,kind=steady,h2d_us=5.458,run_us=297.250,d2h_us=2.458,device_profile_status=0,device_us=247,cycles=240403,repeat_equal=1
iteration,index=13,kind=steady,h2d_us=5.000,run_us=300.541,d2h_us=2.667,device_profile_status=0,device_us=249,cycles=242843,repeat_equal=1
iteration,index=14,kind=steady,h2d_us=4.917,run_us=299.958,d2h_us=2.459,device_profile_status=0,device_us=249,cycles=242247,repeat_equal=1
iteration,index=15,kind=steady,h2d_us=4.958,run_us=297.458,d2h_us=2.500,device_profile_status=0,device_us=247,cycles=240713,repeat_equal=1
iteration,index=16,kind=steady,h2d_us=5.083,run_us=300.208,d2h_us=2.750,device_profile_status=0,device_us=250,cycles=242685,repeat_equal=1
iteration,index=17,kind=steady,h2d_us=5.125,run_us=303.917,d2h_us=3.042,device_profile_status=0,device_us=248,cycles=241299,repeat_equal=1
iteration,index=18,kind=steady,h2d_us=5.458,run_us=299.041,d2h_us=2.458,device_profile_status=0,device_us=246,cycles=239816,repeat_equal=1
iteration,index=19,kind=steady,h2d_us=5.208,run_us=298.792,d2h_us=2.708,device_profile_status=0,device_us=247,cycles=240060,repeat_equal=1
iteration,index=20,kind=steady,h2d_us=5.166,run_us=296.666,d2h_us=2.583,device_profile_status=0,device_us=245,cycles=238976,repeat_equal=1
iteration,index=21,kind=steady,h2d_us=5.125,run_us=299.167,d2h_us=2.875,device_profile_status=0,device_us=249,cycles=242422,repeat_equal=1
iteration,index=22,kind=steady,h2d_us=5.167,run_us=295.959,d2h_us=2.625,device_profile_status=0,device_us=245,cycles=238466,repeat_equal=1
iteration,index=23,kind=steady,h2d_us=5.083,run_us=298.208,d2h_us=2.542,device_profile_status=0,device_us=247,cycles=239941,repeat_equal=1
iteration,index=24,kind=steady,h2d_us=4.917,run_us=298.125,d2h_us=2.583,device_profile_status=0,device_us=248,cycles=241447,repeat_equal=1
iteration,index=25,kind=steady,h2d_us=5.042,run_us=299.917,d2h_us=2.542,device_profile_status=0,device_us=250,cycles=242390,repeat_equal=1
iteration,index=26,kind=steady,h2d_us=6.500,run_us=304.958,d2h_us=2.542,device_profile_status=0,device_us=252,cycles=243682,repeat_equal=1
iteration,index=27,kind=steady,h2d_us=5.334,run_us=296.166,d2h_us=2.541,device_profile_status=0,device_us=246,cycles=239334,repeat_equal=1
iteration,index=28,kind=steady,h2d_us=5.125,run_us=300.958,d2h_us=2.625,device_profile_status=0,device_us=250,cycles=243712,repeat_equal=1
iteration,index=29,kind=steady,h2d_us=5.125,run_us=350.209,d2h_us=3.750,device_profile_status=0,device_us=248,cycles=240670,repeat_equal=1
iteration,index=30,kind=steady,h2d_us=5.542,run_us=303.333,d2h_us=2.583,device_profile_status=0,device_us=250,cycles=242263,repeat_equal=1
iteration,index=31,kind=steady,h2d_us=5.042,run_us=298.083,d2h_us=2.709,device_profile_status=0,device_us=247,cycles=239801,repeat_equal=1
iteration,index=32,kind=steady,h2d_us=4.917,run_us=300.459,d2h_us=2.583,device_profile_status=0,device_us=249,cycles=241990,repeat_equal=1
iteration,index=33,kind=steady,h2d_us=5.166,run_us=300.250,d2h_us=2.666,device_profile_status=0,device_us=250,cycles=242952,repeat_equal=1
iteration,index=34,kind=steady,h2d_us=5.125,run_us=300.292,d2h_us=2.583,device_profile_status=0,device_us=250,cycles=243050,repeat_equal=1
iteration,index=35,kind=steady,h2d_us=5.208,run_us=300.209,d2h_us=2.625,device_profile_status=0,device_us=249,cycles=242299,repeat_equal=1
iteration,index=36,kind=steady,h2d_us=5.250,run_us=300.542,d2h_us=2.500,device_profile_status=0,device_us=248,cycles=241852,repeat_equal=1
iteration,index=37,kind=steady,h2d_us=5.125,run_us=299.084,d2h_us=2.666,device_profile_status=0,device_us=248,cycles=241751,repeat_equal=1
iteration,index=38,kind=steady,h2d_us=5.292,run_us=296.500,d2h_us=2.750,device_profile_status=0,device_us=245,cycles=238714,repeat_equal=1
iteration,index=39,kind=steady,h2d_us=5.042,run_us=295.125,d2h_us=2.708,device_profile_status=0,device_us=244,cycles=237223,repeat_equal=1
iteration,index=40,kind=steady,h2d_us=5.125,run_us=297.041,d2h_us=3.084,device_profile_status=0,device_us=246,cycles=238842,repeat_equal=1
iteration,index=41,kind=steady,h2d_us=5.083,run_us=386.416,d2h_us=7.625,device_profile_status=0,device_us=260,cycles=238415,repeat_equal=1
iteration,index=42,kind=steady,h2d_us=6.291,run_us=339.042,d2h_us=4.459,device_profile_status=0,device_us=246,cycles=239823,repeat_equal=1
iteration,index=43,kind=steady,h2d_us=5.375,run_us=296.084,d2h_us=2.500,device_profile_status=0,device_us=243,cycles=237340,repeat_equal=1
iteration,index=44,kind=steady,h2d_us=5.167,run_us=295.292,d2h_us=2.584,device_profile_status=0,device_us=244,cycles=237524,repeat_equal=1
iteration,index=45,kind=steady,h2d_us=5.000,run_us=295.500,d2h_us=2.750,device_profile_status=0,device_us=245,cycles=238877,repeat_equal=1
iteration,index=46,kind=steady,h2d_us=4.958,run_us=295.417,d2h_us=2.500,device_profile_status=0,device_us=245,cycles=238912,repeat_equal=1
iteration,index=47,kind=steady,h2d_us=5.125,run_us=294.584,d2h_us=2.333,device_profile_status=0,device_us=244,cycles=238473,repeat_equal=1
iteration,index=48,kind=steady,h2d_us=4.959,run_us=297.500,d2h_us=2.542,device_profile_status=0,device_us=246,cycles=240558,repeat_equal=1
iteration,index=49,kind=steady,h2d_us=5.208,run_us=296.500,d2h_us=2.375,device_profile_status=0,device_us=245,cycles=239086,repeat_equal=1
iteration,index=50,kind=steady,h2d_us=4.958,run_us=293.708,d2h_us=2.542,device_profile_status=0,device_us=243,cycles=237475,repeat_equal=1
iteration,index=51,kind=steady,h2d_us=4.958,run_us=294.917,d2h_us=2.500,device_profile_status=0,device_us=243,cycles=237360,repeat_equal=1
iteration,index=52,kind=steady,h2d_us=5.000,run_us=295.875,d2h_us=2.458,device_profile_status=0,device_us=244,cycles=238380,repeat_equal=1
iteration,index=53,kind=steady,h2d_us=5.000,run_us=299.458,d2h_us=3.083,device_profile_status=0,device_us=247,cycles=238528,repeat_equal=1
iteration,index=54,kind=steady,h2d_us=5.542,run_us=299.708,d2h_us=2.542,device_profile_status=0,device_us=246,cycles=240794,repeat_equal=1
iteration,index=55,kind=steady,h2d_us=5.208,run_us=296.042,d2h_us=2.542,device_profile_status=0,device_us=244,cycles=239079,repeat_equal=1
iteration,index=56,kind=steady,h2d_us=5.584,run_us=297.583,d2h_us=2.667,device_profile_status=0,device_us=245,cycles=239660,repeat_equal=1
iteration,index=57,kind=steady,h2d_us=5.292,run_us=298.750,d2h_us=3.167,device_profile_status=0,device_us=246,cycles=241302,repeat_equal=1
iteration,index=58,kind=steady,h2d_us=4.959,run_us=295.916,d2h_us=2.500,device_profile_status=0,device_us=245,cycles=238739,repeat_equal=1
iteration,index=59,kind=steady,h2d_us=4.958,run_us=297.500,d2h_us=2.458,device_profile_status=0,device_us=246,cycles=240735,repeat_equal=1
iteration,index=60,kind=steady,h2d_us=5.333,run_us=298.667,d2h_us=2.292,device_profile_status=0,device_us=248,cycles=241386,repeat_equal=1
iteration,index=61,kind=steady,h2d_us=5.250,run_us=299.750,d2h_us=3.083,device_profile_status=0,device_us=246,cycles=240538,repeat_equal=1
iteration,index=62,kind=steady,h2d_us=5.084,run_us=296.500,d2h_us=2.792,device_profile_status=0,device_us=243,cycles=237969,repeat_equal=1
iteration,index=63,kind=steady,h2d_us=5.291,run_us=302.541,d2h_us=2.833,device_profile_status=0,device_us=248,cycles=241494,repeat_equal=1
iteration,index=64,kind=steady,h2d_us=5.500,run_us=304.458,d2h_us=2.500,device_profile_status=0,device_us=250,cycles=243912,repeat_equal=1
iteration,index=65,kind=steady,h2d_us=5.333,run_us=302.916,d2h_us=2.667,device_profile_status=0,device_us=250,cycles=244357,repeat_equal=1
iteration,index=66,kind=steady,h2d_us=6.167,run_us=301.917,d2h_us=2.625,device_profile_status=0,device_us=247,cycles=239421,repeat_equal=1
iteration,index=67,kind=steady,h2d_us=5.417,run_us=296.917,d2h_us=2.458,device_profile_status=0,device_us=244,cycles=238129,repeat_equal=1
iteration,index=68,kind=steady,h2d_us=5.625,run_us=296.292,d2h_us=2.833,device_profile_status=0,device_us=245,cycles=238845,repeat_equal=1
