VIPLite driver software version 2.0.3.2-AW-2024-08-30
phase,name=init,time_us=3693.833
phase,name=create_network,time_us=335.125
network,inputs=2,outputs=1
tensor,kind=input,index=0,format=2,quant=1,dims=2,shape=720x4
buffer,kind=input,index=0,bytes=2880
tensor,kind=input,index=1,format=2,quant=1,dims=2,shape=5440x1
buffer,kind=input,index=1,bytes=5440
tensor,kind=output,index=0,format=0,quant=1,dims=2,shape=16x1
buffer,kind=output,index=0,bytes=64
phase,name=create_buffers,time_us=219.334
phase,name=prepare,time_us=96.375
iteration,index=0,kind=first,h2d_us=22.291,run_us=462.958,d2h_us=8.500,device_profile_status=0,device_us=260,cycles=244071,repeat_equal=1
iteration,index=1,kind=steady,h2d_us=7.750,run_us=313.291,d2h_us=2.666,device_profile_status=0,device_us=245,cycles=239150,repeat_equal=1
iteration,index=2,kind=steady,h2d_us=5.167,run_us=298.958,d2h_us=2.625,device_profile_status=0,device_us=246,cycles=239640,repeat_equal=1
iteration,index=3,kind=steady,h2d_us=5.041,run_us=317.376,d2h_us=5.000,device_profile_status=0,device_us=257,cycles=242675,repeat_equal=1
iteration,index=4,kind=steady,h2d_us=5.875,run_us=324.250,d2h_us=2.250,device_profile_status=0,device_us=251,cycles=240727,repeat_equal=1
iteration,index=5,kind=steady,h2d_us=5.417,run_us=299.625,d2h_us=2.500,device_profile_status=0,device_us=246,cycles=240698,repeat_equal=1
iteration,index=6,kind=steady,h2d_us=5.375,run_us=296.667,d2h_us=2.625,device_profile_status=0,device_us=245,cycles=238770,repeat_equal=1
iteration,index=7,kind=steady,h2d_us=4.958,run_us=297.417,d2h_us=2.666,device_profile_status=0,device_us=246,cycles=240046,repeat_equal=1
iteration,index=8,kind=steady,h2d_us=5.000,run_us=295.500,d2h_us=2.375,device_profile_status=0,device_us=244,cycles=238471,repeat_equal=1
iteration,index=9,kind=steady,h2d_us=4.958,run_us=295.166,d2h_us=2.625,device_profile_status=0,device_us=243,cycles=237246,repeat_equal=1
iteration,index=10,kind=steady,h2d_us=5.042,run_us=294.375,d2h_us=2.417,device_profile_status=0,device_us=244,cycles=238335,repeat_equal=1
iteration,index=11,kind=steady,h2d_us=5.125,run_us=295.834,d2h_us=2.416,device_profile_status=0,device_us=244,cycles=238601,repeat_equal=1
iteration,index=12,kind=steady,h2d_us=5.042,run_us=296.375,d2h_us=2.542,device_profile_status=0,device_us=244,cycles=238716,repeat_equal=1
iteration,index=13,kind=steady,h2d_us=4.958,run_us=296.208,d2h_us=2.667,device_profile_status=0,device_us=245,cycles=239647,repeat_equal=1
iteration,index=14,kind=steady,h2d_us=4.875,run_us=295.000,d2h_us=2.250,device_profile_status=0,device_us=245,cycles=238659,repeat_equal=1
iteration,index=15,kind=steady,h2d_us=4.958,run_us=298.084,d2h_us=3.208,device_profile_status=0,device_us=246,cycles=240475,repeat_equal=1
iteration,index=16,kind=steady,h2d_us=5.500,run_us=298.792,d2h_us=2.709,device_profile_status=0,device_us=245,cycles=239689,repeat_equal=1
iteration,index=17,kind=steady,h2d_us=5.167,run_us=295.417,d2h_us=2.458,device_profile_status=0,device_us=244,cycles=237526,repeat_equal=1
iteration,index=18,kind=steady,h2d_us=5.084,run_us=292.917,d2h_us=2.333,device_profile_status=0,device_us=242,cycles=236381,repeat_equal=1
iteration,index=19,kind=steady,h2d_us=5.041,run_us=295.959,d2h_us=2.708,device_profile_status=0,device_us=244,cycles=238660,repeat_equal=1
iteration,index=20,kind=steady,h2d_us=5.083,run_us=294.250,d2h_us=2.583,device_profile_status=0,device_us=243,cycles=237494,repeat_equal=1
iteration,index=21,kind=steady,h2d_us=4.959,run_us=295.750,d2h_us=3.000,device_profile_status=0,device_us=244,cycles=239285,repeat_equal=1
iteration,index=22,kind=steady,h2d_us=5.041,run_us=296.541,d2h_us=2.542,device_profile_status=0,device_us=245,cycles=238929,repeat_equal=1
iteration,index=23,kind=steady,h2d_us=4.958,run_us=292.084,d2h_us=2.333,device_profile_status=0,device_us=242,cycles=235568,repeat_equal=1
iteration,index=24,kind=steady,h2d_us=4.958,run_us=295.834,d2h_us=2.416,device_profile_status=0,device_us=245,cycles=239830,repeat_equal=1
iteration,index=25,kind=steady,h2d_us=5.083,run_us=295.542,d2h_us=2.708,device_profile_status=0,device_us=244,cycles=238649,repeat_equal=1
iteration,index=26,kind=steady,h2d_us=6.875,run_us=295.166,d2h_us=3.042,device_profile_status=0,device_us=243,cycles=237256,repeat_equal=1
iteration,index=27,kind=steady,h2d_us=5.000,run_us=293.417,d2h_us=2.625,device_profile_status=0,device_us=242,cycles=236961,repeat_equal=1
iteration,index=28,kind=steady,h2d_us=27.667,run_us=301.083,d2h_us=2.292,device_profile_status=0,device_us=246,cycles=239598,repeat_equal=1
iteration,index=29,kind=steady,h2d_us=5.708,run_us=300.667,d2h_us=2.750,device_profile_status=0,device_us=249,cycles=242888,repeat_equal=1
iteration,index=30,kind=steady,h2d_us=5.167,run_us=297.542,d2h_us=2.667,device_profile_status=0,device_us=246,cycles=240684,repeat_equal=1
iteration,index=31,kind=steady,h2d_us=5.042,run_us=296.959,d2h_us=2.541,device_profile_status=0,device_us=246,cycles=240259,repeat_equal=1
iteration,index=32,kind=steady,h2d_us=4.959,run_us=296.416,d2h_us=2.458,device_profile_status=0,device_us=245,cycles=239339,repeat_equal=1
iteration,index=33,kind=steady,h2d_us=5.000,run_us=295.500,d2h_us=2.500,device_profile_status=0,device_us=245,cycles=238841,repeat_equal=1
iteration,index=34,kind=steady,h2d_us=5.125,run_us=294.917,d2h_us=2.417,device_profile_status=0,device_us=244,cycles=238951,repeat_equal=1
iteration,index=35,kind=steady,h2d_us=5.167,run_us=294.958,d2h_us=2.292,device_profile_status=0,device_us=243,cycles=237474,repeat_equal=1
iteration,index=36,kind=steady,h2d_us=5.083,run_us=295.042,d2h_us=2.666,device_profile_status=0,device_us=244,cycles=238370,repeat_equal=1
iteration,index=37,kind=steady,h2d_us=4.958,run_us=294.167,d2h_us=2.417,device_profile_status=0,device_us=243,cycles=237051,repeat_equal=1
iteration,index=38,kind=steady,h2d_us=5.417,run_us=299.417,d2h_us=2.667,device_profile_status=0,device_us=247,cycles=241769,repeat_equal=1
iteration,index=39,kind=steady,h2d_us=4.917,run_us=294.917,d2h_us=2.500,device_profile_status=0,device_us=244,cycles=237719,repeat_equal=1
iteration,index=40,kind=steady,h2d_us=4.833,run_us=304.709,d2h_us=2.750,device_profile_status=0,device_us=249,cycles=242042,repeat_equal=1
iteration,index=41,kind=steady,h2d_us=5.792,run_us=299.584,d2h_us=2.625,device_profile_status=0,device_us=245,cycles=239010,repeat_equal=1
iteration,index=42,kind=steady,h2d_us=5.042,run_us=296.125,d2h_us=2.459,device_profile_status=0,device_us=243,cycles=237880,repeat_equal=1
iteration,index=43,kind=steady,h2d_us=4.958,run_us=295.042,d2h_us=2.958,device_profile_status=0,device_us=243,cycles=237404,repeat_equal=1
iteration,index=44,kind=steady,h2d_us=4.875,run_us=295.833,d2h_us=2.417,device_profile_status=0,device_us=245,cycles=238928,repeat_equal=1
iteration,index=45,kind=steady,h2d_us=5.084,run_us=293.792,d2h_us=2.875,device_profile_status=0,device_us=242,cycles=236647,repeat_equal=1
iteration,index=46,kind=steady,h2d_us=5.167,run_us=295.584,d2h_us=2.541,device_profile_status=0,device_us=244,cycles=238317,repeat_equal=1
iteration,index=47,kind=steady,h2d_us=4.875,run_us=295.500,d2h_us=2.542,device_profile_status=0,device_us=245,cycles=238911,repeat_equal=1
iteration,index=48,kind=steady,h2d_us=5.000,run_us=294.458,d2h_us=2.375,device_profile_status=0,device_us=243,cycles=237522,repeat_equal=1
iteration,index=49,kind=steady,h2d_us=4.875,run_us=297.791,d2h_us=2.500,device_profile_status=0,device_us=246,cycles=241350,repeat_equal=1
iteration,index=50,kind=steady,h2d_us=5.541,run_us=296.166,d2h_us=2.334,device_profile_status=0,device_us=246,cycles=238961,repeat_equal=1
iteration,index=51,kind=steady,h2d_us=5.000,run_us=297.875,d2h_us=2.625,device_profile_status=0,device_us=247,cycles=241138,repeat_equal=1
iteration,index=52,kind=steady,h2d_us=5.000,run_us=307.542,d2h_us=3.167,device_profile_status=0,device_us=246,cycles=239644,repeat_equal=1
iteration,index=53,kind=steady,h2d_us=6.167,run_us=298.417,d2h_us=2.458,device_profile_status=0,device_us=246,cycles=240229,repeat_equal=1
iteration,index=54,kind=steady,h2d_us=5.208,run_us=296.291,d2h_us=2.584,device_profile_status=0,device_us=245,cycles=238776,repeat_equal=1
iteration,index=55,kind=steady,h2d_us=5.125,run_us=296.583,d2h_us=2.458,device_profile_status=0,device_us=244,cycles=238854,repeat_equal=1
