run_id,elapsed_s,cpu_max_c,ddr_c,gpu_c,npu_c
A-split,0,45.136,43.276,44.392,43.586
A-split,1,45.322,42.036,42.780,42.966
A-split,2,46.066,43.586,42.408,43.400
A-split,3,48.484,44.020,44.020,42.656
A-split,4,46.004,43.276,43.400,42.098
A-split,5,45.632,42.346,42.904,41.664
A-split,6,45.136,42.780,42.966,41.974
A-split,7,45.198,42.346,42.594,41.230
A-split,8,43.958,41.726,41.974,41.292
A-split,9,48.360,42.780,43.462,42.656
A-split,10,48.546,43.338,44.268,43.028
A-split,11,45.756,42.842,42.594,42.656
A-split,12,45.012,42.408,43.028,42.408
A-split,13,44.392,40.920,41.416,41.044
A-split,14,45.012,42.098,41.788,41.478
A-split,15,46.066,42.656,42.470,42.408
A-split,16,48.236,42.284,43.896,41.540
A-split,17,45.136,42.594,42.408,42.098
A-split,18,45.446,42.780,42.098,41.664
A-split,19,45.136,43.400,41.292,40.920
A-split,20,44.578,42.346,41.168,41.664
A-split,21,44.082,41.478,42.408,40.672
B-big-PRFM-1,0,39.742,38.130,37.758,37.014
B-big-PRFM-1,1,40.610,37.758,39.308,37.696
B-big-PRFM-1,2,40.982,37.882,38.378,39.494
B-big-PRFM-1,3,42.346,38.192,39.370,37.572
B-big-PRFM-1,4,44.144,39.866,40.672,38.626
B-big-PRFM-1,5,43.214,38.564,39.680,38.254
B-big-PRFM-1,6,41.602,39.556,39.370,39.060
B-big-PRFM-1,7,41.540,38.192,39.184,38.378
B-big-PRFM-1,8,41.416,38.874,39.246,39.184
B-big-PRFM-1,9,42.160,38.502,39.370,38.068
B-big-PRFM-1,10,44.454,39.122,40.424,40.052
B-big-PRFM-1,11,42.656,39.804,40.176,39.432
B-big-PRFM-1,12,42.098,39.432,39.246,38.502
B-big-PRFM-1,13,41.912,39.742,38.874,38.378
B-big-PRFM-1,14,42.780,39.370,38.998,39.370
B-big-PRFM-1,15,42.222,38.750,38.812,37.510
B-big-PRFM-1,16,44.454,39.990,39.742,38.130
B-big-PRFM-1,17,44.144,40.300,40.734,39.432
B-big-PRFM-1,18,42.780,39.866,39.370,39.556
B-big-PRFM-1,19,42.346,40.052,38.998,39.556
B-big-PRFM-1,20,41.726,39.432,39.680,39.246
B-big-PRFM-1,21,41.664,39.246,38.998,40.176
B-big-PRFM-1,22,45.508,40.052,39.990,40.734
B-big-PRFM-1,23,43.028,39.990,39.866,38.564
B-big-PRFM-1,24,52.948,43.028,45.818,41.912
B-big-PRFM-1,25,57.598,47.058,48.856,43.090
B-big-PRFM-1,26,60.574,48.298,51.026,45.694
B-big-PRFM-1,27,60.202,49.786,52.390,47.988
B-big-PRFM-1,28,61.690,50.096,54.126,49.166
B-big-PRFM-1,29,59.396,51.398,52.886,48.174
B-big-PRFM-1,30,60.760,51.150,53.382,48.918
B-big-PRFM-1,31,61.566,51.398,55.242,48.546
B-big-PRFM-1,32,63.054,52.700,56.234,50.468
B-big-PRFM-1,33,63.612,52.142,57.288,51.522
B-big-PRFM-1,34,64.914,54.808,56.606,52.080
B-big-PRFM-1,35,63.178,52.762,57.722,51.956
B-big-PRFM-1,36,60.636,51.770,56.606,50.468
B-big-PRFM-2,0,40.610,38.130,38.440,38.564
B-big-PRFM-2,1,41.602,39.308,37.758,37.634
B-big-PRFM-2,2,42.408,39.060,38.254,38.998
B-big-PRFM-2,3,42.842,39.556,39.246,38.130
B-big-PRFM-2,4,42.098,38.378,39.184,38.936
B-big-PRFM-2,5,45.384,40.672,42.222,38.750
B-big-PRFM-2,6,45.136,39.928,40.424,39.370
B-big-PRFM-2,7,43.214,39.990,40.300,39.990
B-big-PRFM-2,8,42.594,40.362,40.300,39.370
B-big-PRFM-2,9,43.400,39.866,39.928,39.494
B-big-PRFM-2,10,42.966,39.990,39.494,39.122
B-big-PRFM-2,11,46.314,39.804,42.904,39.060
B-big-PRFM-2,12,46.376,41.168,42.222,40.238
B-big-PRFM-2,13,45.136,41.540,41.912,40.238
B-big-PRFM-2,14,43.586,41.664,40.920,39.618
B-big-PRFM-2,15,43.710,40.796,40.610,39.494
B-big-PRFM-2,16,43.090,40.114,39.990,39.680
B-big-PRFM-2,17,45.074,41.106,40.486,39.246
B-big-PRFM-2,18,46.562,40.920,41.602,41.168
B-big-PRFM-2,19,43.772,40.672,40.858,40.548
B-big-PRFM-2,20,43.028,41.044,40.920,40.610
B-big-PRFM-2,21,43.028,40.610,40.610,39.928
B-big-PRFM-2,22,43.896,40.548,39.866,39.308
B-big-PRFM-2,23,42.842,41.168,40.362,38.750
B-big-PRFM-2,24,48.360,42.408,44.454,40.362
B-big-PRFM-2,25,57.164,46.066,48.980,43.834
B-big-PRFM-2,26,60.574,48.670,51.150,45.818
B-big-PRFM-2,27,61.380,49.290,53.010,47.306
B-big-PRFM-2,28,62.558,50.964,53.072,48.484
B-big-PRFM-2,29,63.116,51.894,57.164,50.468
B-big-PRFM-2,30,63.550,52.886,56.606,50.716
B-big-PRFM-2,31,60.388,52.948,53.878,50.034
B-big-PRFM-2,32,64.418,54.870,56.420,50.282
B-big-PRFM-2,33,65.100,55.304,57.722,52.452
B-big-PRFM-2,34,64.728,55.738,57.660,52.700
B-big-PRFM-2,35,64.790,54.312,59.334,53.878
