elapsed_s,rss_gib,mem_available_gib,cpu_max_c,ddr_c,gpu_c,npu_c,process_samples,samples
0,0.049847,11.099384,38.130,36.022,35.464,36.146,10,10
1,0.110271,11.009945,42.222,38.006,37.696,37.448,9,9
2,0.133709,11.010212,40.114,37.200,37.510,36.890,10,10
3,0.155437,11.052380,35.712,36.332,35.774,35.650,9,9
4,0.176434,11.052116,35.340,35.464,35.154,35.340,9,9
5,0.199627,11.052113,35.030,35.340,35.278,34.968,10,10
6,0.220623,11.051979,35.092,35.092,35.030,34.844,9,9
7,0.243572,11.016357,39.308,36.890,36.084,34.782,10,10
8,0.266033,11.010300,39.122,37.386,37.324,35.650,10,10
9,0.286541,11.049580,35.526,35.402,35.278,35.464,9,9
10,0.309002,11.049149,35.030,35.216,35.030,35.092,10,10
11,0.332195,11.049049,34.906,35.216,34.782,35.154,10,10
12,0.352703,11.049442,34.720,35.030,34.844,34.906,9,9
13,0.375408,11.021667,37.758,36.022,35.960,35.650,10,10
14,0.397869,11.009129,38.502,36.518,36.828,35.960,10,10
15,0.420330,11.048973,35.526,36.022,35.588,35.216,10,10
16,0.441082,11.049026,34.782,35.650,35.154,36.580,9,9
17,0.464520,11.049099,34.658,35.216,34.968,34.844,10,10
18,0.485760,11.048405,34.658,35.526,34.968,34.720,9,9
19,0.508099,11.034454,36.146,35.216,34.906,35.898,10,10
20,0.528362,11.009445,39.618,36.332,36.456,37.510,9,9
21,0.551189,11.049049,36.208,36.208,35.836,35.154,10,10
22,0.571575,11.049149,35.154,35.650,34.906,35.216,9,9
23,0.593548,11.050701,34.782,35.340,34.906,34.844,9,9
24,0.615520,11.050571,34.782,35.464,34.658,34.844,9,9
25,0.639690,11.050533,34.348,35.092,34.720,34.596,10,10
26,0.661175,11.012596,37.572,36.022,35.712,36.890,9,9
27,0.682415,11.009686,39.742,35.960,36.580,36.518,9,9
28,0.704388,11.049332,35.588,35.650,35.216,35.030,9,9
29,0.726360,11.049278,35.216,35.216,35.092,35.650,9,9
30,0.748211,11.048813,34.968,35.030,35.092,34.844,9,9
31,0.769817,11.050480,34.906,35.030,34.596,34.720,9,9
32,0.793987,11.021488,37.014,35.774,36.828,35.340,10,10
33,0.815228,11.008766,39.184,36.394,36.642,36.580,9,9
34,0.836712,11.050804,35.526,35.588,35.526,35.340,9,9
35,0.859905,11.050602,35.154,35.464,35.092,35.154,10,10
36,0.880901,11.050484,35.092,35.154,34.906,34.720,9,9
37,0.902630,11.050522,35.154,35.340,34.844,35.092,9,9
38,0.925335,11.050343,34.472,34.844,34.720,34.968,10,10
39,0.946575,11.008572,38.378,36.270,36.022,35.216,9,9
40,0.967571,11.008648,38.378,36.208,36.208,36.766,9,9
41,0.991497,11.048920,35.340,35.526,35.216,35.030,10,10
42,1.012249,11.048927,34.906,35.278,34.782,35.154,9,9
43,1.033978,11.048851,34.782,35.030,34.906,34.844,9,9
44,1.057171,11.048260,35.092,35.154,34.844,34.968,10,10
45,1.078655,11.012215,38.068,35.836,36.022,35.216,9,9
46,1.099895,11.006763,39.618,36.580,37.014,35.836,9,9
47,1.123089,11.046658,35.650,35.650,35.588,35.340,10,10
48,1.144573,11.046539,34.720,35.402,35.092,35.216,9,9
49,1.165569,11.046436,34.844,35.278,35.092,34.844,9,9
50,1.187298,11.045971,34.844,35.030,34.844,34.844,9,9
51,1.209270,11.029823,36.208,35.898,34.720,34.782,9,9
52,1.231243,11.005405,38.812,35.774,36.146,36.084,9,9
53,1.255413,11.045540,35.340,35.836,35.340,35.216,10,10
54,1.276165,11.045650,34.906,35.278,34.720,35.030,9,9
55,1.298870,11.045540,34.534,35.154,34.720,34.906,10,10
56,1.319866,11.045692,34.720,35.030,34.410,34.968,9,9
57,1.343304,11.045738,34.162,35.030,34.472,34.720,10,10
58,1.363567,11.007435,38.688,37.138,37.014,35.836,9,9
59,1.386272,11.006512,38.564,37.138,35.898,36.022,10,10
60,1.408733,11.047695,35.402,35.402,34.906,35.092,10,10
61,1.431194,11.047543,34.596,35.154,34.782,34.844,10,10
62,1.452190,11.047371,34.472,35.092,34.596,35.216,9,9
63,1.473186,11.047283,34.224,35.154,34.658,34.906,9,9
64,1.496136,11.014095,37.882,37.262,35.836,34.720,10,10
65,1.518597,11.005829,38.316,37.076,36.022,35.278,10,10
66,1.541302,11.046951,35.030,35.464,35.030,34.906,10,10
67,1.560345,11.046902,34.906,35.464,34.906,34.906,9,9
68,1.583050,11.047253,34.720,35.154,34.968,34.844,10,10
69,1.604046,11.047321,34.472,35.464,34.658,34.720,9,9
70,1.627483,11.040501,34.472,35.340,34.844,34.844,10,10
71,1.649944,11.006096,38.688,37.076,36.704,36.580,10,10
72,1.670452,11.047413,36.828,35.898,35.836,35.588,9,9
73,1.692913,11.047321,35.650,35.774,35.154,35.030,10,10
74,1.715374,11.047501,35.030,35.464,35.464,35.030,10,10
75,1.736614,11.047249,34.782,35.464,34.782,35.092,9,9
76,1.760052,11.047367,34.658,35.278,34.968,34.906,10,10
77,1.780560,11.015862,39.060,36.642,36.642,35.774,9,9
78,1.803020,11.005455,39.246,36.394,37.200,36.270,10,10
79,1.825726,11.045029,35.464,35.588,35.588,35.278,10,10
80,1.848186,11.045116,35.092,35.650,34.968,35.030,10,10
81,1.868694,11.045261,34.906,35.464,34.782,35.464,9,9
82,1.892132,11.045059,34.906,35.526,34.844,35.092,10,10
83,1.913128,11.040573,35.278,35.278,35.092,34.968,9,9
84,1.934856,11.004932,38.936,36.084,36.270,36.022,9,9
85,1.958050,11.044621,36.642,36.208,36.270,35.712,10,10
86,1.979534,11.044491,35.154,35.340,35.154,35.216,9,9
87,2.000530,11.044548,35.216,35.216,35.030,34.844,9,9
88,2.021526,11.044552,34.782,35.092,34.906,34.844,9,9
