run,elapsed_s,rss_gib,mem_available_gib,cpu_max_c,ddr_c,gpu_c,npu_c,process_samples,samples
b,0,0.068249,11.100868,42.222,37.510,38.502,37.324,10,10
b,1,3.654430,11.090248,41.354,37.882,37.820,36.952,9,9
b,2,3.822155,10.922428,41.664,39.184,38.316,39.742,10,10
b,3,3.979382,10.764534,41.292,38.068,38.626,37.200,9,9
b,4,4.136852,10.607235,41.106,39.122,38.502,39.370,9,9
b,5,4.294323,10.449581,41.416,38.626,38.688,38.006,9,9
b,6,4.452282,10.252071,44.888,39.804,39.246,38.626,9,9
b,7,4.609509,10.136276,44.144,40.362,40.610,39.060,9,9
b,8,4.766979,9.977982,43.276,39.928,38.750,39.990,9,9
b,9,4.924816,9.819847,42.408,39.432,38.936,39.122,9,9
b,10,5.082409,9.662251,42.160,40.114,39.308,39.308,9,9
b,11,5.240124,9.504135,42.036,39.370,38.998,38.564,9,9
b,12,5.394421,9.316223,43.586,42.160,39.804,38.626,9,9
b,13,5.544933,9.197113,45.260,41.292,41.044,39.246,9,9
b,14,5.701061,9.040474,42.904,40.486,40.362,39.308,9,9
b,15,5.870983,8.870346,42.718,41.602,40.176,40.734,10,10
b,16,6.021862,8.718945,43.462,40.424,39.990,38.750,9,9
b,17,6.176525,8.564232,42.532,40.176,39.680,39.122,9,9
b,18,6.344128,8.372635,44.702,40.362,41.726,39.866,10,10
b,19,6.496716,8.244389,45.756,41.664,40.920,39.990,9,9
b,20,6.646496,8.094509,43.648,41.602,41.540,40.238,9,9
b,21,6.800060,7.940701,43.462,40.796,41.540,39.370,9,9
b,22,6.966198,7.774212,43.834,40.610,39.866,40.920,10,10
b,23,7.602367,6.961563,48.856,41.044,41.602,39.990,9,9
b,24,7.602367,6.953724,55.986,45.818,48.608,43.772,10,10
b,25,7.606884,6.920376,54.622,47.616,50.716,45.570,8,8
b,26,9.288280,6.896584,57.412,48.918,52.638,46.190,10,10
b,27,9.288280,6.937340,60.140,51.336,54.374,49.228,9,9
b,28,9.807400,6.418121,58.404,49.786,51.150,46.996,9,9
b,29,9.824123,6.390690,59.582,49.476,52.390,47.616,10,10
b,30,,7.839123,52.266,46.438,48.236,46.748,5,5
