run,elapsed_s,rss_gib,mem_available_gib,cpu_max_c,ddr_c,gpu_c,npu_c,process_samples,samples
c,0,0.088577,11.121368,42.780,40.114,40.114,39.742,10,10
c,1,0.770809,10.435936,43.710,41.416,40.362,39.122,9,9
c,2,0.089436,11.078754,45.880,41.540,42.718,40.672,10,10
c,3,3.726765,11.016270,44.826,40.300,41.168,40.300,9,9
c,4,3.881672,10.861019,43.586,41.168,41.478,39.804,9,9
c,5,4.033161,10.709232,43.586,41.850,40.610,39.618,9,9
c,6,4.205036,10.537178,43.896,40.796,40.610,40.176,10,10
c,7,4.356281,10.385330,43.090,40.300,39.990,39.618,9,9
c,8,4.511799,10.192638,45.260,44.826,41.974,40.300,9,9
c,9,4.663288,10.078045,45.942,41.664,42.036,40.548,9,9
c,10,4.818439,9.922611,45.384,41.602,41.478,39.990,9,9
c,11,4.976154,9.764717,44.144,40.548,40.920,40.796,9,9
c,12,5.133991,9.606689,43.524,41.106,40.300,41.106,9,9
c,13,5.291706,9.448555,42.656,40.424,39.804,39.742,9,9
c,14,5.464802,9.242653,45.508,41.974,41.106,40.548,10,10
c,15,5.616413,9.122925,47.740,43.090,42.036,40.982,9,9
c,16,5.771564,8.967560,44.144,40.300,41.540,41.726,9,9
c,17,5.923054,8.815674,44.206,41.168,40.672,40.114,9,9
c,18,6.094929,8.643658,43.524,40.796,41.478,41.850,10,10
c,19,6.246174,8.492012,43.586,41.540,40.734,40.176,9,9
c,20,6.396687,8.325439,44.578,42.160,41.912,41.292,9,9
c,21,6.550983,8.181606,46.438,41.788,42.904,41.044,9,9
c,22,6.717609,8.020885,44.702,42.160,42.532,41.416,10,10
c,23,6.870441,7.867558,44.454,40.920,41.354,40.920,9,9
c,24,7.072098,7.487717,43.710,40.548,41.912,40.920,9,9
c,25,7.610184,6.952030,53.816,43.834,47.802,42.160,10,10
c,26,7.613968,6.946342,57.722,48.174,51.088,44.826,9,9
c,27,9.295486,6.891815,56.358,47.306,50.716,46.252,9,9
c,28,9.295486,6.887043,58.094,49.104,52.204,47.802,9,9
c,29,9.616531,6.606495,62.868,51.336,53.940,49.476,10,10
c,30,9.833691,6.389313,59.086,50.406,52.328,47.864,9,9
c,31,9.841137,6.372032,60.884,49.724,54.498,49.104,10,10
