run,elapsed_s,rss_gib,mem_available_gib,cpu_max_c,ddr_c,gpu_c,npu_c,process_samples,samples
e,0,0.088390,11.110260,41.788,39.122,38.750,37.572,10,10
e,1,3.712658,11.025280,41.292,39.370,38.874,37.758,10,10
e,2,3.874035,10.863300,41.416,39.804,38.440,39.060,10,10
e,3,4.019176,10.717960,40.796,39.432,38.130,38.192,9,9
e,4,4.180431,10.556461,41.850,38.812,38.378,37.386,10,10
e,5,4.344006,10.365459,42.904,39.556,39.742,38.440,10,10
e,6,4.495129,10.242115,45.260,41.478,41.850,39.246,9,9
e,7,4.647961,10.089325,42.470,40.176,39.990,39.122,9,9
e,8,4.815197,9.921619,42.470,39.060,39.370,39.308,10,10
e,9,4.969616,9.766609,42.842,38.564,39.680,38.316,9,9
e,10,5.120373,9.615791,42.842,39.866,39.866,39.308,9,9
e,11,5.287731,9.438671,42.656,39.246,39.184,38.874,10,10
e,12,5.442394,9.268761,46.252,40.610,40.920,38.316,9,9
e,13,5.593029,9.142673,46.128,40.920,41.540,39.308,9,9
e,14,5.750866,8.984299,43.090,39.680,40.362,39.556,9,9
e,15,5.907726,8.827236,43.090,39.990,40.858,39.804,9,9
e,16,6.082165,8.652760,43.276,40.610,39.246,39.928,10,10
e,17,6.239025,8.495644,42.160,40.548,40.362,39.618,9,9
e,18,6.389904,8.303303,46.996,41.416,40.734,40.424,9,9
e,19,6.539562,8.193768,45.322,40.734,41.602,39.556,9,9
e,20,6.707531,8.025597,44.392,40.238,40.052,39.494,10,10
e,21,6.856701,7.876171,42.532,40.920,40.982,39.742,9,9
e,22,6.993053,7.618061,42.656,40.300,41.106,39.680,9,9
e,23,7.602699,6.955853,54.064,43.772,44.268,42.408,10,10
e,24,7.606483,6.924877,54.374,45.756,48.608,44.454,9,9
e,25,9.288734,6.889847,55.738,46.376,48.980,45.694,8,8
e,26,9.288734,6.889847,59.458,48.174,51.150,46.872,10,10
e,27,9.425941,6.793499,61.938,51.088,52.514,46.376,9,9
e,28,9.833805,6.385048,59.768,49.600,52.452,47.306,10,10
e,29,9.834293,6.384605,63.674,50.654,53.630,47.988,9,9
e,30,9.844913,6.374062,63.798,52.328,55.304,48.670,10,10
e,31,9.855045,6.338326,63.860,51.522,55.924,51.212,8,8
e,32,9.855045,6.322247,63.860,53.258,54.870,51.336,9,9
e,33,9.864689,6.353561,64.728,53.196,56.668,52.514,10,10
e,34,9.872478,6.345909,65.162,54.436,56.792,52.452,8,8
e,35,9.879318,6.338726,62.744,53.010,55.676,52.948,3,3
e,36,9.879318,6.338486,64.728,53.816,56.916,54.436,10,10
e,37,9.880295,6.337803,64.852,54.684,57.164,51.708,9,9
e,38,9.885788,6.300186,64.790,54.250,58.032,52.576,9,9
e,39,9.885788,6.290817,62.186,52.948,55.552,51.956,9,9
e,40,9.885788,6.332153,65.100,55.242,58.404,53.630,10,10
e,41,9.885788,6.332272,65.224,57.288,58.838,54.188,9,9
e,42,7.536606,7.014332,62.248,54.374,55.800,52.452,8,8
