run,elapsed_s,rss_gib,mem_available_gib,cpu_max_c,ddr_c,gpu_c,npu_c,process_samples,samples
f,0,0.087330,11.089638,39.804,36.518,37.138,35.340,10,10
f,1,3.695850,11.031765,44.640,38.192,39.308,39.308,9,9
f,2,3.862965,10.872559,41.478,40.052,38.626,38.812,10,10
f,3,4.015919,10.719471,41.540,39.184,38.006,38.936,9,9
f,4,4.166676,10.568420,41.850,39.866,40.052,38.502,9,9
f,5,4.338917,10.395626,41.478,38.936,39.060,38.812,10,10
f,6,4.495655,10.228951,44.516,39.246,39.184,38.502,9,9
f,7,4.646290,10.046062,46.004,41.726,41.292,38.688,9,9
f,8,4.796803,9.934849,44.702,39.928,41.664,40.796,9,9
f,9,4.954762,9.776714,42.656,41.416,39.618,39.184,9,9
f,10,5.111500,9.619598,42.718,39.432,39.246,39.184,9,9
f,11,5.268238,9.462448,42.222,39.122,39.742,40.362,9,9
f,12,5.442432,9.288029,42.656,39.556,39.680,38.874,10,10
f,13,5.594776,9.096310,45.074,40.238,40.672,41.106,9,9
f,14,5.745045,8.985687,45.818,40.424,41.478,40.734,9,9
f,15,5.913502,8.816978,44.516,40.300,40.238,39.308,10,10
f,16,6.062794,8.667576,43.338,40.114,39.804,39.742,9,9
f,17,6.215870,8.514248,43.524,40.982,39.990,39.866,9,9
f,18,6.382252,8.347572,43.710,40.548,40.114,38.812,10,10
f,19,6.536182,8.158195,45.446,40.920,41.726,39.370,9,9
f,20,6.685719,8.044296,46.500,41.602,43.028,40.300,9,9
f,21,6.837086,7.892410,43.276,41.168,39.742,40.982,9,9
f,22,6.988453,7.661221,44.888,41.044,41.602,40.052,10,10
f,23,7.015747,7.539303,55.490,43.400,47.368,42.656,9,9
f,24,7.020020,7.536938,57.660,47.244,49.786,45.384,10,10
f,25,7.020752,7.516308,61.690,49.662,50.716,46.314,9,9
f,26,7.020752,7.493740,58.776,51.088,53.816,48.794,9,9
f,27,7.020752,7.493740,62.496,51.336,54.932,48.546,9,9
f,28,7.020752,7.534737,64.480,52.142,54.932,50.034,10,10
f,29,7.020752,7.534737,65.224,53.444,56.048,50.468,9,9
f,30,7.020752,7.534794,64.604,53.506,57.350,50.592,9,9
f,31,7.023560,7.532219,65.162,54.870,57.660,52.576,10,10
f,32,5.405109,9.136246,60.636,53.382,54.188,51.398,7,7
