group,layer_index,op_name,family,fused,fused_nodes,wall_median_ms_median,wall_median_ms_p10,wall_median_ms_p90,wall_median_ms_cv,compute_wall_median_ms_median,compute_wall_median_ms_p10,compute_wall_median_ms_p90,compute_wall_median_ms_cv,barrier_wall_median_ms_median,barrier_wall_median_ms_p10,barrier_wall_median_ms_p90,barrier_wall_median_ms_cv,logical_read_bytes_median,logical_read_bytes_p10,logical_read_bytes_p90,logical_read_bytes_cv,logical_write_bytes_median,logical_write_bytes_p10,logical_write_bytes_p90,logical_write_bytes_cv,q1_logical_read_bytes_median,q1_logical_read_bytes_p10,q1_logical_read_bytes_p90,q1_logical_read_bytes_cv,q8_logical_read_bytes_median,q8_logical_read_bytes_p10,q8_logical_read_bytes_p90,q8_logical_read_bytes_cv,q1_wall_median_ms_median,q1_wall_median_ms_p10,q1_wall_median_ms_p90,q1_wall_median_ms_cv,f32_to_q8_wall_median_ms_median,f32_to_q8_wall_median_ms_p10,f32_to_q8_wall_median_ms_p90,f32_to_q8_wall_median_ms_cv
layer=-1|op=ADD|family=ADD,-1,ADD,ADD,False,1,0.00375,0.003617,0.0038162,0.0268349401670865,0.002625,0.002508,0.0026663,0.029723922483916008,0.002083,0.0019663,0.002125,0.03758263460879137,384.0,384.0,384.0,0.0,192.0,192.0,192.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=-1|op=CPY|family=CPY,-1,CPY,CPY,False,1,0.0268755,0.026320899999999998,0.028075,0.03135260628247705,0.0154785,0.0142458,0.0193376,0.17295165455920597,0.014354,0.0128038,0.0145249,0.05941692137742551,143358.0,143358.0,143358.0,0.0,61440.0,61440.0,61440.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=-1|op=GET_ROWS|family=GET_ROWS,-1,GET_ROWS,GET_ROWS,False,1,0.0310625,0.0306038,0.0336083,0.049221634141653176,0.005020999999999999,0.0048582,0.005275899999999999,0.03797139613195166,0.0306045,0.0301125,0.0329874,0.04755199042198755,3145728.0,3145728.0,3145728.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=-1|op=MUL_MAT|family=MUL_MAT,-1,MUL_MAT,MUL_MAT,False,1,0.030417,0.0303164,0.0310338,0.010976299334294165,0.029042,0.028766800000000002,0.0297334,0.01486522216268519,0.009042,0.0089166,0.0091082,0.011169282852022662,55040.0,55040.0,55040.0,0.0,192.0,192.0,192.0,0.0,34560.0,34560.0,34560.0,0.0,65280.0,65280.0,65280.0,0.0,0.016291,0.0162002,0.0165914,0.010787042909641031,0.0,0.0,0.0,
layer=-1|op=MUL|family=MUL,-1,MUL,MUL,False,1,0.009395500000000001,0.0093083,0.0094913,0.00855800342129171,0.0076665,0.0076001,0.0078377,0.013789510278781189,0.0058545,0.0058122,0.0061331,0.027782203356526987,49152.0,49152.0,49152.0,0.0,24576.0,24576.0,24576.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=-1|op=RMS_NORM|family=fused:RMS_NORM,-1,RMS_NORM,fused:RMS_NORM,True,2,0.012375,0.0107918,0.050508000000000004,0.7102064026728482,0.010876,0.0100254,0.034358200000000005,0.8483795246644952,0.011042,0.0092918,0.049625,0.7544814593214862,20480.0,20480.0,20480.0,0.0,20480.0,20480.0,20480.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=-1|op=SCALE|family=SCALE,-1,SCALE,SCALE,False,1,0.0034375,0.003175,0.0035418999999999997,0.048941047999418195,0.001417,0.0013918,0.0015416,0.04984130177819183,0.0030004999999999997,0.0027834,0.0031165,0.050367149259300754,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=-1|op=SET_ROWS|family=SET_ROWS,-1,SET_ROWS,SET_ROWS,False,1,0.008604500000000001,0.0083374,0.0087501,0.024503657038997935,0.007688,0.0074749,0.0078168,0.023282200047668004,0.007396,0.0071957,0.007587399999999999,0.023369471019198257,1052680.0,1052680.0,1052680.0,0.0,1048576.0,1048576.0,1048576.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=-1|op=UNARY|family=UNARY,-1,UNARY,UNARY,False,1,0.016375,0.0163084,0.0164585,0.004071216890971392,0.012937500000000001,0.0128877,0.0133085,0.016480703275549794,0.0114165,0.011317,0.0114916,0.0067777782782886915,24576.0,24576.0,24576.0,0.0,24576.0,24576.0,24576.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=0|op=ADD|family=ADD,0,ADD,ADD,False,1,0.010813,0.0099499,0.0199581,0.33372899983674936,0.009646,0.0088126,0.0179709,0.3414098052407613,0.0085205,0.0079041,0.017470600000000003,0.38315451490889885,40960.0,40960.0,40960.0,0.0,20480.0,20480.0,20480.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
