run_id,cpu,pair_index,pair_order,cache_state,calls,elapsed_ns,ns_per_traversal,traversals_per_second,temperature_c,cpu_cycles,instructions,stall_backend,output_checksum
cpu0-pair1-cold,0,1,hot_repeat->cold_conditioned,cold_conditioned,1,54042,54042.0,18504.126420191704,34.906,848060,329408,433981,0xf0d4224634da5da3
cpu0-pair1-hot,0,1,hot_repeat->cold_conditioned,hot_repeat,250,12641500,50566.0,19776.13416129415,34.782,20447882,18803542,4552041,0xea018b4296d17e54
cpu0-pair2-cold,0,2,cold_conditioned->hot_repeat,cold_conditioned,1,57166,57166.0,17492.915369275444,35.588,742151,261077,369799,0xf0d4224634da5da3
cpu0-pair2-hot,0,2,cold_conditioned->hot_repeat,hot_repeat,250,13578333,54313.332,18411.685734913113,34.906,20410795,18787492,4538011,0xea018b4296d17e54
cpu0-pair3-cold,0,3,hot_repeat->cold_conditioned,cold_conditioned,1,59625,59625.0,16771.488469601678,36.456,404099,136992,179361,0xf0d4224634da5da3
cpu0-pair3-hot,0,3,hot_repeat->cold_conditioned,hot_repeat,250,12549000,50196.0,19921.906127978324,35.278,20294202,18760508,4458058,0xea018b4296d17e54
cpu0-pair4-cold,0,4,cold_conditioned->hot_repeat,cold_conditioned,1,84041,84041.0,11898.954081936197,34.038,834199,305920,448041,0xf0d4224634da5da3
cpu0-pair4-hot,0,4,cold_conditioned->hot_repeat,hot_repeat,250,13664291,54657.164,18295.863283356597,34.534,20430281,18816693,4480585,0xea018b4296d17e54
cpu0-pair5-cold,0,5,hot_repeat->cold_conditioned,cold_conditioned,1,54250,54250.0,18433.179723502304,33.728,986761,337757,511349,0xf0d4224634da5da3
cpu0-pair5-hot,0,5,hot_repeat->cold_conditioned,hot_repeat,250,15975458,63901.832,15649.003615420603,35.03,20266883,18822190,4332746,0xea018b4296d17e54
cpu6-pair1-cold,6,1,hot_repeat->cold_conditioned,cold_conditioned,1,21459,21459.0,46600.49396523603,34.596,2052364,1685455,1418328,0xf0d4224634da5da3
cpu6-pair2-cold,6,2,cold_conditioned->hot_repeat,cold_conditioned,1,24916,24916.0,40134.85310643763,36.89,2344494,3139014,1240134,0xf0d4224634da5da3
cpu6-pair2-hot,6,2,cold_conditioned->hot_repeat,hot_repeat,250,3618041,14472.164,69098.16665980291,33.542,6952954,18722103,549380,0xea018b4296d17e54
cpu6-pair3-cold,6,3,hot_repeat->cold_conditioned,cold_conditioned,1,23500,23500.0,42553.1914893617,34.658,2057390,1821438,1360037,0xf0d4224634da5da3
cpu6-pair4-cold,6,4,cold_conditioned->hot_repeat,cold_conditioned,1,21458,21458.0,46602.66567247647,34.348,2233371,2001782,1511861,0xf0d4224634da5da3
cpu6-pair4-hot,6,4,cold_conditioned->hot_repeat,hot_repeat,250,3435125,13740.5,72777.55540191405,33.976,7013505,18739421,573914,0xea018b4296d17e54
cpu6-pair5-cold,6,5,hot_repeat->cold_conditioned,cold_conditioned,1,22959,22959.0,43555.904002787574,33.852,345029,204234,175741,0xf0d4224634da5da3
cpu6-pair5-hot,6,5,hot_repeat->cold_conditioned,hot_repeat,250,5681292,22725.168,44004.07512938958,34.1,6832305,18711588,478821,0xea018b4296d17e54
