run_id,H_harness_ns,M_parent_ns,T_cpu_cycles_ns,R_cpu_cycles_ns,T_instructions_ns,R_instructions_ns,T_stall_backend_ns,R_stall_backend_ns,M_minus_H_ns,T_minus_H_ns,calls,cpu_cycles,cycles_per_T_GHz,temperature_c,S_seen,A_acknowledged,E_seen,timing_qualified
cpu0-pair1-hot,12641500,12851036,12705084,12705084,12705084,12705084,12705084,12705084,209536,63584,250,20447882,1.609425,34.782,true,true,true,true
cpu0-pair2-hot,13578333,13762868,13660667,13660667,13660667,13660667,13660667,13660667,184535,82334,250,20410795,1.494129,34.906,true,true,true,true
cpu0-pair3-hot,12549000,12694618,12607751,12607751,12607751,12607751,12607751,12607751,145618,58751,250,20294202,1.609661,35.278,true,true,true,true
cpu0-pair4-hot,13664291,13883785,13198918,13198918,13198918,13198918,13198918,13198918,219494,-465373,250,20430281,1.547875,34.534,true,true,true,true
cpu0-pair5-hot,15975458,16192659,15278249,15278249,15278249,15278249,15278249,15278249,217201,-697209,250,20266883,1.326519,35.030,true,true,true,true
cpu6-pair1-hot,9904416,10049245,8597252,8597252,8597252,8597252,8597252,8597252,144829,-1307164,250,6976841,0.811520,33.542,true,true,true,false
cpu6-pair2-hot,3618041,3697456,3670791,3670791,3670791,3670791,3670791,3670791,79415,52750,250,6952954,1.894130,33.542,true,true,true,true
cpu6-pair3-hot,11023709,11181328,9947127,9947127,9947127,9947127,9947127,9947127,157619,-1076582,250,7067465,0.710503,33.852,true,true,true,false
cpu6-pair4-hot,3435125,3546957,3510500,3510500,3510500,3510500,3510500,3510500,111832,75375,250,7013505,1.997865,33.976,true,true,true,true
cpu6-pair5-hot,5681292,5736080,5718250,5718250,5718250,5718250,5718250,5718250,54788,36958,250,6832305,1.194824,34.100,true,true,true,true
