run_id,cpu,pair_index,pair_order,cache_state,calls,elapsed_ns,ns_per_traversal,traversals_per_second,temperature_c,cpu_cycles,instructions,stall_backend,output_checksum
cpu0-pair1-cold,0,1,hot_repeat->cold_conditioned,cold_conditioned,1,57833,57833.0,17291.165943319556,39.618,901627,349371,456331,0xf0d4224634da5da3
cpu0-pair1-hot,0,1,hot_repeat->cold_conditioned,hot_repeat,250,15062125,60248.5,16597.92359975767,36.084,20451509,18752602,4572737,0xea018b4296d17e54
cpu0-pair2-cold,0,2,cold_conditioned->hot_repeat,cold_conditioned,1,57708,57708.0,17328.619948707284,33.48,860151,329887,441857,0xf0d4224634da5da3
cpu0-pair2-hot,0,2,cold_conditioned->hot_repeat,hot_repeat,250,15101791,60407.164,16554.32789395642,34.348,20402791,18766405,4538379,0xea018b4296d17e54
cpu0-pair3-cold,0,3,hot_repeat->cold_conditioned,cold_conditioned,1,113000,113000.0,8849.557522123894,33.48,839137,277409,463903,0xf0d4224634da5da3
cpu0-pair3-hot,0,3,hot_repeat->cold_conditioned,hot_repeat,250,15603917,62415.668,16021.618161644925,33.046,20215689,18784734,4347844,0xea018b4296d17e54
cpu0-pair4-cold,0,4,cold_conditioned->hot_repeat,cold_conditioned,1,58792,58792.0,17009.116886651245,33.604,821368,307393,423604,0xf0d4224634da5da3
cpu0-pair4-hot,0,4,cold_conditioned->hot_repeat,hot_repeat,250,12565458,50261.832,19895.812790906628,35.216,20237272,18778781,4386322,0xea018b4296d17e54
cpu0-pair5-cold,0,5,hot_repeat->cold_conditioned,cold_conditioned,1,54000,54000.0,18518.51851851852,34.286,812432,317589,410577,0xf0d4224634da5da3
cpu0-pair5-hot,0,5,hot_repeat->cold_conditioned,hot_repeat,250,14700875,58803.5,17005.7904716556,33.356,20332537,18750078,4524133,0xea018b4296d17e54
cpu6-pair1-cold,6,1,hot_repeat->cold_conditioned,cold_conditioned,1,24542,24542.0,40746.47542987532,34.844,205606,143911,95606,0xf0d4224634da5da3
cpu6-pair1-hot,6,1,hot_repeat->cold_conditioned,hot_repeat,250,3411833,13647.332,73274.39531770752,35.96,6974274,18731147,541427,0xea018b4296d17e54
cpu6-pair2-cold,6,2,cold_conditioned->hot_repeat,cold_conditioned,1,22708,22708.0,44037.34366742998,34.472,427356,282969,235552,0xf0d4224634da5da3
cpu6-pair2-hot,6,2,cold_conditioned->hot_repeat,hot_repeat,250,6820458,27281.832,36654.42995177157,35.34,7074026,18826924,560903,0xea018b4296d17e54
cpu6-pair3-cold,6,3,hot_repeat->cold_conditioned,cold_conditioned,1,24334,24334.0,41094.76452699926,34.038,342909,219941,169908,0xf0d4224634da5da3
cpu6-pair3-hot,6,3,hot_repeat->cold_conditioned,hot_repeat,250,6741667,26966.668,37082.816460676564,33.666,6933342,18758155,518681,0xea018b4296d17e54
cpu6-pair4-cold,6,4,cold_conditioned->hot_repeat,cold_conditioned,1,23791,23791.0,42032.701441721656,36.394,146947,96431,58270,0xf0d4224634da5da3
cpu6-pair4-hot,6,4,cold_conditioned->hot_repeat,hot_repeat,250,3409666,13638.664,73320.96457541588,35.96,7248344,18810943,698611,0xea018b4296d17e54
cpu6-pair5-cold,6,5,hot_repeat->cold_conditioned,cold_conditioned,1,23833,23833.0,41958.62879201108,35.898,2369254,1992116,1631813,0xf0d4224634da5da3
cpu6-pair5-hot,6,5,hot_repeat->cold_conditioned,hot_repeat,250,3436291,13745.164,72752.86056972474,32.426,7162215,18753467,631059,0xea018b4296d17e54
